site_description,site,site_description,unit,unitclass,freightclass,oldfreightclass,commodity_group,commodity_description,origin,origin_zip,destination,destination_zip,minimum_charge,ftl_flat_rate,old_discount,new_discount,L5C,5C,1M,2M,3M,5M,10M,20M,30M,40M
Itasca,DIT,,CWT,Weight,70,40,1VNL,LVT,GA,30720,IL,60143,115.21,1748.43,0.7795,0.7995,28.27,23.25,17.48,13.88,13.88,9.85,7.17,7.17,7.17,7.17
Itasca,DIT,,CWT,Weight,70,40,1VNL,LVP,GA,30720,IL,60143,115.21,1748.43,0.7795,0.7995,28.27,23.25,17.48,13.88,13.88,9.85,7.17,7.17,7.17,7.17
Itasca,DIT,,CWT,Weight,70,40,1VNL,VCT,GA,30720,IL,60143,115.21,1748.43,0.7795,0.7995,28.27,23.25,17.48,13.88,13.88,9.85,7.17,7.17,7.17,7.17
Itasca,DIT,,SQYD,Area,150,10,1CBL,Carpet Roll,GA,30720,IL,60143,52.59,1748.43,0.7795,0.7995,0.4386,0.4308,0.423,0.4153,0.4075,0.4075,0.4075,0.4075,0.4075,0.4075
Itasca,DIT,,SQYD,Area,70,100,1CPT,Carpet Tile,GA,30720,IL,60143,52.59,1748.43,0.7795,0.7995,0.7456,0.7324,0.7192,0.706,0.6928,0.6928,0.6928,0.6928,0.6928,0.6928
Jacksonville,SPJ,,CWT,Weight,70,40,1VNL,LVT,GA,30720,FL,32216,95.35,2313.67,0.7795,0.7995,22.87,20.85,16.16,13,13,10.19,8.49,8.49,8.49,8.49
Jacksonville,SPJ,,CWT,Weight,70,40,1VNL,LVP,GA,30720,FL,32216,95.35,2313.67,0.7795,0.7995,22.87,20.85,16.16,13,13,10.19,8.49,8.49,8.49,8.49
Jacksonville,SPJ,,CWT,Weight,70,40,1VNL,VCT,GA,30720,FL,32216,95.35,2313.67,0.7795,0.7995,22.87,20.85,16.16,13,13,10.19,8.49,8.49,8.49,8.49
Jacksonville,SPJ,,SQYD,Area,150,10,1CBL,Carpet Roll,GA,30720,FL,32216,55.13,2313.67,0.7795,0.7995,0.4366,0.4249,0.419,0.4102,0.3955,0.3955,0.3955,0.3955,0.3955,0.3955
Jacksonville,SPJ,,SQYD,Area,70,100,1CPT,Carpet Tile,GA,30720,FL,32216,55.13,2313.67,0.7795,0.7995,0.7422,0.7223,0.7123,0.6974,0.6724,0.6724,0.6724,0.6724,0.6724,0.6724
Norcross,SPN,,CWT,Weight,70,40,1VNL,LVT,GA,30720,GA,30071,95.35,724.83,0.7504,0.7731,12.24,11.15,8.29,6.26,6.26,4.97,4.21,4.21,4.21,4.21
Norcross,SPN,,CWT,Weight,70,40,1VNL,LVP,GA,30720,GA,30071,95.35,724.83,0.7504,0.7731,12.24,11.15,8.29,6.26,6.26,4.97,4.21,4.21,4.21,4.21
Norcross,SPN,,CWT,Weight,70,40,1VNL,VCT,GA,30720,GA,30071,95.35,724.83,0.7504,0.7731,12.24,11.15,8.29,6.26,6.26,4.97,4.21,4.21,4.21,4.21
Norcross,SPN,,SQYD,Area,150,10,1CBL,Carpet Roll,GA,30720,GA,30071,49.19,724.83,0.7504,0.7731,0.3202,0.3118,0.2992,0.2908,0.2823,0.2823,0.2823,0.2823,0.2823,0.2823
Norcross,SPN,,SQYD,Area,70,100,1CPT,Carpet Tile,GA,30720,GA,30071,49.19,724.83,0.7504,0.7731,0.5444,0.5301,0.5086,0.4943,0.48,0.48,0.48,0.48,0.48,0.48
Tampa,SPT,,CWT,Weight,70,40,1VNL,LVT,GA,30720,FL,33605,95.35,2313.67,0.7795,0.7995,25.37,23.13,17.94,14.41,14.41,11.3,9.42,9.42,9.42,9.42
Tampa,SPT,,CWT,Weight,70,40,1VNL,LVP,GA,30720,FL,33605,95.35,2313.67,0.7795,0.7995,25.37,23.13,17.94,14.41,14.41,11.3,9.42,9.42,9.42,9.42
Tampa,SPT,,CWT,Weight,70,40,1VNL,VCT,GA,30720,FL,33605,95.35,2313.67,0.7795,0.7995,25.37,23.13,17.94,14.41,14.41,11.3,9.42,9.42,9.42,9.42
Tampa,SPT,,SQYD,Area,150,10,1CBL,Carpet Roll,GA,30720,FL,33605,60.64,2313.67,0.7795,0.7995,0.4608,0.4497,0.4424,0.435,0.4166,0.4166,0.4166,0.4166,0.4166,0.4166
Tampa,SPT,,SQYD,Area,70,100,1CPT,Carpet Tile,GA,30720,FL,33605,60.64,2313.67,0.7795,0.7995,0.7834,0.7646,0.752,0.7394,0.7082,0.7082,0.7082,0.7082,0.7082,0.7082
Longwood,SPW,,CWT,Weight,70,40,1VNL,LVT,GA,30720,FL,32750,95.35,2313.67,0.7795,0.7995,25.37,23.13,17.94,14.14,14.14,11.3,9.42,9.42,9.42,9.42
Longwood,SPW,,CWT,Weight,70,40,1VNL,LVP,GA,30720,FL,32750,95.35,2313.67,0.7795,0.7995,25.37,23.13,17.94,14.14,14.14,11.3,9.42,9.42,9.42,9.42
Longwood,SPW,,CWT,Weight,70,40,1VNL,VCT,GA,30720,FL,32750,95.35,2313.67,0.7795,0.7995,25.37,23.13,17.94,14.14,14.14,11.3,9.42,9.42,9.42,9.42
Longwood,SPW,,SQYD,Area,150,10,1CBL,Carpet Roll,GA,30720,FL,32750,60.64,2313.67,0.7795,0.7995,0.4521,0.4412,0.4339,0.4267,0.4086,0.4086,0.4086,0.4086,0.4086,0.4086
Longwood,SPW,,SQYD,Area,70,100,1CPT,Carpet Tile,GA,30720,FL,32750,60.64,2313.67,0.7795,0.7995,0.7685,0.75,0.7377,0.7254,0.6946,0.6946,0.6946,0.6946,0.6946,0.6946
Spectra Coppell,SPCP,,CWT,Weight,70,40,1VNL,LVT,GA,30720,TX,75019,108.59,2160,0.7795,0.7995,26.53,24.18,19.27,16.1,16.1,12.58,10.57,10.57,10.57,10.57
Spectra Coppell,SPCP,,CWT,Weight,70,40,1VNL,LVP,GA,30720,TX,75019,108.59,2160,0.7795,0.7995,26.53,24.18,19.27,16.1,16.1,12.58,10.57,10.57,10.57,10.57
Spectra Coppell,SPCP,,CWT,Weight,70,40,1VNL,VCT,GA,30720,TX,75019,108.59,2160,0.7795,0.7995,26.53,24.18,19.27,16.1,16.1,12.58,10.57,10.57,10.57,10.57
Spectra Coppell,SPCP,,SQYD,Area,150,10,1CBL,Carpet Roll,GA,30720,TX,75019,62.45,2160,0.7795,0.7995,0.5073,0.4892,0.4819,0.4747,0.4601,0.4601,0.4601,0.4601,0.4601,0.4601
Spectra Coppell,SPCP,,SQYD,Area,70,100,1CPT,Carpet Tile,GA,30720,TX,75019,62.45,2160,0.7795,0.7995,0.8623,0.8316,0.8192,0.807,0.7822,0.7822,0.7822,0.7822,0.7822,0.7822
Spectra Houston,SPHU,,CWT,Weight,70,40,1VNL,LVT,GA,30720,TX,77040,101.96,2160,0.7795,0.7995,26.04,23.74,18.92,15.81,15.81,12.35,10.37,10.37,10.37,10.37
Spectra Houston,SPHU,,CWT,Weight,70,40,1VNL,LVP,GA,30720,TX,77040,101.96,2160,0.7795,0.7995,26.04,23.74,18.92,15.81,15.81,12.35,10.37,10.37,10.37,10.37
Spectra Houston,SPHU,,CWT,Weight,70,40,1VNL,VCT,GA,30720,TX,77040,101.96,2160,0.7795,0.7995,26.04,23.74,18.92,15.81,15.81,12.35,10.37,10.37,10.37,10.37
Spectra Houston,SPHU,,SQYD,Area,150,10,1CBL,Carpet Roll,GA,30720,TX,77040,62.45,2160,0.7795,0.7995,0.507,0.4963,0.4893,0.4787,0.4645,0.4645,0.4645,0.4645,0.4645,0.4645
Spectra Houston,SPHU,,SQYD,Area,70,100,1CPT,Carpet Tile,GA,30720,TX,77040,62.45,2160,0.7795,0.7995,0.8619,0.8438,0.8318,0.8137,0.7896,0.7896,0.7896,0.7896,0.7896,0.7896
Pavillion Floors,PVF,,CWT,Weight,70,40,1VNL,LVT,GA,30720,MA,18101,108.59,3474.81,0,0,30.56,27.05,21.56,18.18,18.18,15.09,13.53,13.53,13.53,13.53
Pavillion Floors,PVF,,CWT,Weight,70,40,1VNL,LVP,GA,30720,MA,18101,108.59,3474.81,0,0,30.56,27.05,21.56,18.18,18.18,15.09,13.53,13.53,13.53,13.53
Pavillion Floors,PVF,,CWT,Weight,70,40,1VNL,VCT,GA,30720,MA,18101,108.59,3474.81,0,0,30.56,27.05,21.56,18.18,18.18,15.09,13.53,13.53,13.53,13.53
Pavillion Floors,PVF,,SQYD,Area,150,10,1CBL,Carpet Roll,GA,30720,MA,18101,79.38,3474.81,0,0,0.6834,0.6762,0.669,0.6618,0.6545,0.6545,0.6545,0.6545,0.6545,0.6545
Pavillion Floors,PVF,,SQYD,Area,70,100,1CPT,Carpet Tile,GA,30720,MA,18101,79.38,3474.81,0,0,1.1619,1.1495,1.1373,1.125,1.1127,1.1127,1.1127,1.1127,1.1127,1.1127
Spectra Tempe,SPTM,,CWT,Weight,70,40,1VNL,LVT,GA,30720,AZ,85283,135.07,3926.47,0.7795,0.7995,37.04,30.02,25.56,21.49,21.49,18.68,15.32,15.32,15.32,15.32
Spectra Tempe,SPTM,,CWT,Weight,70,40,1VNL,LVP,GA,30720,AZ,85283,135.07,3926.47,0.7795,0.7995,37.04,30.02,25.56,21.49,21.49,18.68,15.32,15.32,15.32,15.32
Spectra Tempe,SPTM,,CWT,Weight,70,40,1VNL,VCT,GA,30720,AZ,85283,135.07,3926.47,0.7795,0.7995,37.04,30.02,25.56,21.49,21.49,18.68,15.32,15.32,15.32,15.32
