po_no,account,account_description,siteid,site,supplierid,suppliername,partnumber,partdescription,commodity_group,commoditydescription,quantity,uom,po_freight_cost,conversion_code,est_commodity_group,est_discount_area,est_discount_cwt,est_estimated_area_cost,est_estimated_cwt_cost,est_freight_class_area,est_freight_class_cwt,est_freight_class_lbs,est_lbs,est_rate_area,est_rate_cwt,est_sqyd,est_uom
14034,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,103423,"Shaw Industries, Inc.",207384-010,Shaw Tile Resurface Tile (GX168) Multi Level Pattern Loop 12in x 48in - Flint (68760),1CPT,Carpet Tile,112.0,SQYD,770.0,Carpet_Tile_1CPT_SQYD,1CPT,1,1,83.13,95.09,L5C,,L5C,415.8,0.7422,22.87,112.0,SQYD
14034,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,103423,"Shaw Industries, Inc.",189586-010,Shaw Tile Foundation Tile (5T169) Textured Loop 12in x 48in - Flint (68760),1CPT,Carpet Tile,421.33,SQYD,770.0,Carpet_Tile_1CPT_SQYD,1CPT,1,1,312.71,252.77,L5C,,1M,1564.19,0.7422,16.16,421.33,SQYD
14208,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,104993,"Forbo Industries, Inc",170357-005,Forbo Flotex Peng Flocked 20in x 20in - Ash (382031),1CPT,Carpet Tile,17.0,SQYD,42.48,Carpet_Tile_1CPT_SQYD,1CPT,1,1,13.32,16.01,L5C,,L5C,63.11,0.7834,25.37,17.0,SQYD
18344,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",199315-003,Shaw Patcraft Eastern Facade (I0515) Multi Level Pattern Loop 24in x 24in - Graffiti (00430),1CPT,Carpet Tile,88.88,SQYD,98.33,Carpet_Tile_1CPT_SQYD,1CPT,1,1,69.63,83.71,L5C,,L5C,329.97,0.7834,25.37,88.88,SQYD
25085,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",204332-005,Shaw Contract Makerspace (5T325) Multi Level Pattern Loop 24in x 24in - Gunta (23668),1CPT,Carpet Tile,106.35,SQYD,164.51,Carpet_Tile_1CPT_SQYD,1CPT,1,1,83.31,100.17,L5C,,L5C,394.82,0.7834,25.37,106.35,SQYD
25263,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,121550,Mohawk Industries,193020-007,Mohawk Lichen Macro Bloom (GT388) Tufted Textured Pattern Loop 12in x 36in - Felt Finish (975),1CPT,Carpet Tile,13.99,SQYD,203.91,Carpet_Tile_1CPT_SQYD,1CPT,1,1,10.38,11.88,L5C,,L5C,51.94,0.7422,22.87,13.99,SQYD
25263,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,121550,Mohawk Industries,193018-001,Mohawk Lichen Groundcover (GT402) Tufted Textured Pattern Loop 12in x 36in - Rock Face (949),1CPT,Carpet Tile,28.02,SQYD,203.91,Carpet_Tile_1CPT_SQYD,1CPT,1,1,20.8,23.79,L5C,,L5C,104.02,0.7422,22.87,28.02,SQYD
25263,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,121550,Mohawk Industries,193019-007,Mohawk Lichen Micro Bloom (GT397) Tufted Textured Pattern Loop 12in x 36in - Felt Finish (975),1CPT,Carpet Tile,74.72,SQYD,203.91,Carpet_Tile_1CPT_SQYD,1CPT,1,1,55.46,63.44,L5C,,L5C,277.4,0.7422,22.87,74.72,SQYD
25264,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,103423,"Shaw Industries, Inc.",182634-031,Shaw Contract Color Frame EW2 (5T081) Undefined 24in x 24in - Ember (81870),1CPT,Carpet Tile,5.0,SQYD,1649.24,Carpet_Tile_1CPT_SQYD,1CPT,1,1,3.71,4.25,L5C,,L5C,18.56,0.7422,22.87,5.0,SQYD
25264,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,103423,"Shaw Industries, Inc.",182402-003,Shaw Contract Achromatic (5T107) Undefined 18in x 36in - Silver (07518),1CPT,Carpet Tile,85.0,SQYD,1649.24,Carpet_Tile_1CPT_SQYD,1CPT,1,1,63.09,72.17,L5C,,L5C,315.56,0.7422,22.87,85.0,SQYD
