po_no,account,account_description,siteid,site,supplierid,suppliername,partnumber,partdescription,quantity,invoice_id,invoice_no,uom,comm1,comm2,commodity_group,commoditydescription,old_new,priority,classification,conversion_code,est_commodity_group,est_discount_area,est_discount_cwt,est_estimated_area_cost,est_estimated_cwt_cost,est_freight_class_area,est_freight_class_cwt,est_freight_class_lbs,est_lbs,est_rate_area,est_rate_cwt,est_sqyd,est_uom
47278,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,103423,"Shaw Industries, Inc.",200842-007,Shaw Contract Offset Tile (5T296) Multi Level Pattern Loop 24in x 24in - Mirror Grey (94535) PROMOTIONAL,257.81,443411,9389619,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,957.12,Missing rate,Missing rate,257.81,SQYD
61003,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,103423,"Shaw Industries, Inc.",208688-003,Shaw Contract-Divvy Tile (5T411)-Multi Level Pattern Cut/Loop-24in x 24in-Step (12549),37.31,492193,9670441,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,138.51,Missing rate,Missing rate,37.31,SQYD
53867,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,121550,Mohawk Industries,195615-006,Mohawk Shared Path Tile (QB429 - BT429) Tufted Textured Pattern Multi Colored Loop 12in x 36in - Charcoal (989),32.0,498465,C1619481,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,118.8,Missing rate,Missing rate,32.0,SQYD
59775,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,121550,Mohawk Industries,195616-003,Mohawk Metallic Path Tile (BT431) Tufted Textured Pattern Multi Colored Loop 12in x 36in - Platinum Gleam (929),80.0,498462,C1651199,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,297.0,Missing rate,Missing rate,80.0,SQYD
53833,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,121550,Mohawk Industries,195616-003,Mohawk Metallic Path Tile (BT431) Tufted Textured Pattern Multi Colored Loop 12in x 36in - Platinum Gleam (929),192.0,498562,C1619482,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,712.8,Missing rate,Missing rate,192.0,SQYD
53585,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,121550,Mohawk Industries,195615-006,Mohawk Shared Path Tile (QB429 - BT429) Tufted Textured Pattern Multi Colored Loop 12in x 36in - Charcoal (989),24.0,498569,C1619483,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,89.1,Missing rate,Missing rate,24.0,SQYD
53576,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,121550,Mohawk Industries,195615-006,Mohawk Shared Path Tile (QB429 - BT429) Tufted Textured Pattern Multi Colored Loop 12in x 36in - Charcoal (989),16.0,498570,C1619484,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,59.4,Missing rate,Missing rate,16.0,SQYD
53576,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,121550,Mohawk Industries,204510-002,Mohawk First Step II Tile (QL315) Tufted Performance Loop Pile 24in x 24in - Cobalt (955),24.88,498570,C1619484,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,92.37,Missing rate,Missing rate,24.88,SQYD
53563,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,121550,Mohawk Industries,195615-006,Mohawk Shared Path Tile (QB429 - BT429) Tufted Textured Pattern Multi Colored Loop 12in x 36in - Charcoal (989),16.0,498571,C1619485,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,59.4,Missing rate,Missing rate,16.0,SQYD
53554,2008,Received Not Yet Invoiced,BNB,Beckers New Brighton,121550,Mohawk Industries,195615-006,Mohawk Shared Path Tile (QB429 - BT429) Tufted Textured Pattern Multi Colored Loop 12in x 36in - Charcoal (989),32.0,498628,C1619486,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,118.8,Missing rate,Missing rate,32.0,SQYD
