Discount,L5C,5C,1M,2M,5M,10M,20M,30M,40M
50,23.12,19.02,14.3,11.36,7.98,5.86,5.86,5.86,5.86
55,24.53,20.18,15.17,12.05,8.47,6.22,6.22,6.22,6.22
60,25.95,21.34,16.05,12.74,8.96,6.58,6.58,6.58,6.58
65,27.11,22.3,16.77,13.31,9.36,6.87,6.87,6.87,6.87
70,28.27,23.25,17.48,13.88,9.85,7.17,7.17,7.17,7.17
77,29.96,24.65,18.53,14.72,10.44,7.6,7.6,7.6,7.6
85,32.22,26.5,19.93,15.83,11.23,8.17,8.17,8.17,8.17
92,34.77,28.6,21.51,17.08,12.11,8.62,8.82,8.82,8.82
100,36.75,30.22,22.73,18.05,12.8,9.32,9.32,9.32,9.32
110,39.29,32.32,24.3,19.3,13.69,9.96,9.96,9.96,9.96
125,45.22,37.2,27.97,22.21,18.76,11.47,11.47,11.47,11.47
150,53.14,43.71,32.87,26.1,18.52,13.47,13.47,13.47,13.47
175,61.9,50.92,38.29,30.4,21.57,15.7,15.7,15.7,15.7
200,68.69,56.5,42.48,33.73,23.94,17.42,17.42,17.42,17.42
250,88.19,72.54,54.55,43.31,30.73,22.36,22.36,22.36,22.36
300,100.63,82.77,62.24,49.42,35.07,25.51,25.51,25.51,25.51
400,131.44,108.11,87.3,64.55,45.8,33.32,33.32,33.32,33.32
500,163.09,134.15,100.88,80.1,56.83,41.35,41.35,41.35,41.35
