Discount,L5C,5C,1M,2M,5M,10M,20M,30M,40M
50,9.65,8.79,6.53,4.93,3.88,3.32,3.32,3.32,3.32
55,10.38,9.46,7.03,5.31,4.18,3.57,3.57,3.57,3.57
60,11.01,10.03,7.45,5.63,4.43,3.73,3.73,3.73,3.73
65,11.62,10.59,7.87,5.94,4.67,4.0,4.0,4.0,4.0
70,12.24,11.15,8.29,6.26,4.97,4.21,4.21,4.21,4.21
77,13.22,12.05,8.96,6.76,5.37,4.55,4.55,4.55,4.55
85,14.32,13.05,9.7,7.32,5.82,4.93,4.93,4.93,4.93
92,15.43,14.05,10.45,7.88,6.27,5.31,5.31,5.31,5.31
100,16.53,15.06,11.19,8.45,6.72,5.69,5.69,5.69,5.69
110,18.0,16.4,12.19,9.2,7.31,5.9,5.9,5.9,5.9
125,20.32,18.52,13.77,10.39,8.26,6.23,6.23,6.23,6.23
150,24.24,22.09,16.42,12.39,9.85,7.42,7.42,7.42,7.42
175,28.16,25.66,19.07,14.39,11.44,8.51,8.51,8.51,8.51
200,32.2,29.34,21.81,16.46,13.08,9.73,9.73,9.73,9.73
250,40.03,36.48,27.11,20.46,16.27,11.97,11.97,11.97,11.97
300,47.87,43.62,32.42,24.47,19.45,14.32,14.32,14.32,14.32
400,63.54,57.89,43.03,32.48,25.62,18.79,18.79,18.79,18.79
500,79.21,72.17,53.65,40.49,32.19,23.17,23.17,23.17,23.17
