Discount,L5C,5C,1M,2M,5M,10M,20M,30M,40M
50,19.99,18.22,14.13,11.36,8.81,7.42,7.42,7.42,7.42
55,21.51,19.61,15.21,12.22,9.49,7.98,7.98,7.98,7.98
60,23.07,21.05,16.23,13.06,10.06,8.46,8.46,8.46,8.46
65,24.07,21.95,17.02,13.68,10.62,8.93,8.93,8.93,8.93
70,25.37,23.19,18.39,14.41,11.2,9.37,9.37,9.37,9.37
77,26.37,24.08,19.37,15.67,12.2,10.17,10.17,10.17,10.17
82,27.68,25.3,20.86,16.82,13.22,11.02,11.02,11.02,11.02
92,31.96,29.24,24.26,19.41,15.25,12.81,12.81,12.81,12.81
100,34.24,31.2,26.14,20.93,16.38,13.71,13.71,13.71,13.71
110,37.29,34.0,28.37,21.19,16.6,13.18,13.18,13.18,13.18
125,42.11,38.29,31.78,25.13,19.5,15.0,15.0,15.0,15.0
150,50.23,45.79,35.51,28.56,22.37,18.57,18.57,18.57,18.57
200,58.34,53.19,41.37,33.11,25.71,21.75,21.75,21.75,21.75
250,65.28,59.53,46.22,36.94,29.01,24.56,24.56,24.56,24.56
300,72.06,65.72,50.91,40.67,32.15,26.94,26.94,26.94,26.94
400,90.41,82.51,63.08,50.62,41.91,32.04,32.04,32.04,32.04
500,164.13,149.63,116.05,93.25,73.08,51.78,51.78,51.78,51.78
