SITE,SUPPLIER NO,PO NO,SHIP TO ZIP,PART NO,PART DESCRIPTION,PO INV QTY,INV UOM,Commodity Group,Description
SPW,103423,SPW163061,32750,192392-013,Shaw Commercial Hard Surfaces Luxury Vinyl Terrain II 20 MIL 20 mil glue down 6in x 48in 2.5 MM,292.04,SF,1VNL,Vinyl
SPW,107776,SPW162849,32750,190556-086,Armstrong Luxury Vinyl Natural Creations ArborArt Diamond 10 Solid/Luxury Vinyl 6in x 36in .125,270,SF,1VNL,Vinyl
SPW,104993,SPW162109,32750,216186-001,Forbo Flotex Montage Plank Recycled PVC Flocked Textile 9.48in x 39.37in - Arctic(147007),215.28,SF,1VNL,Vinyl
SPW,104993,SPW162109,32750,216186-001,Forbo Flotex Montage Plank Recycled PVC Flocked Textile 9.48in x 39.37in - Arctic(147007),3955.77,SF,1VNL,Vinyl
SPW,104993,SPW160952,32750,215253-001,Forbo Standard Vinyl Allura Flex Wood 1 mm Wearlayer Loose Lay 120 x 20 cm 5.0mm - Steamed Oak(60293),1007.37,SF,1VNL,Vinyl
SPW,104993,SPW160951,32750,215253-001,Forbo Standard Vinyl Allura Flex Wood 1 mm Wearlayer Loose Lay 120 x 20 cm 5.0mm - Steamed Oak(60293),671.58,SF,1VNL,Vinyl
SPW,104993,SPW160950,32750,215253-001,Forbo Standard Vinyl Allura Flex Wood 1 mm Wearlayer Loose Lay 120 x 20 cm 5.0mm - Steamed Oak(60293),880,SF,1VNL,Vinyl
SPW,104993,SPW160948,32750,215253-001,Forbo Standard Vinyl Allura Flex Wood 1 mm Wearlayer Loose Lay 120 x 20 cm 5.0mm - Steamed Oak(60293),284.13,SF,1VNL,Vinyl
SPW,104993,SPW160946,32750,215253-001,Forbo Standard Vinyl Allura Flex Wood 1 mm Wearlayer Loose Lay 120 x 20 cm 5.0mm - Steamed Oak(60293),7000,SF,1VNL,Vinyl
SPW,104993,SPW160278,32750,215253-001,Forbo Standard Vinyl Allura Flex Wood 1 mm Wearlayer Loose Lay 120 x 20 cm 5.0mm - Steamed Oak(60293),36216,SF,1VNL,Vinyl
SPT,103423,SPT121801,33605,192174-009,Shaw Philadelphia Luxury Vinyl In The Grain II Luxury Vinyl Tile 20 mil 6in x 48in 2.5 MM,3754.8,SF,1VNL,Vinyl
SPT,103423,SPT121788,33605,171482-006,Shaw Patcraft Experience Ecoworx Multi Level Pattern Loop 24in x 24in 17 oz,1263.99,SY,1CPT,Carpet Tile
SPT,103423,SPT121788,33605,202157-003,Shaw Patcraft Connecting Ecoworx Multi Level Pattern Loop 24in x 24in 28 oz,48,SY,1CPT,Carpet Tile
SPT,107776,SPT121745,33605,126732-002,Armstrong Standard Vinyl Standard Excelon Imperial Texture Vinyl Composition 12in x 12in 1/8in,2565,SF,1VNL,Vinyl
SPT,103423,SPT121629,33605,216341-001,Shaw Contract Custom Colorpoint Ecoworx 24in x 24in - Linear(F1188-0),1081.99,SY,1CPT,Carpet Tile
SPT,103423,SPT121629,33605,216341-002,Shaw Contract Custom Colorpoint Ecoworx 24in x 24in - Swirl(F1164-0),1044.68,SY,1CPT,Carpet Tile
SPT,107776,SPT121577,33605,208360-015,Armstrong Luxury Vinyl Theorem 0.020in Wear Layer LVT w/ Diamond 10 6in x 36in 2.5 MM,1800,SF,1VNL,Vinyl
SPT,107776,SPT121517,33605,126732-140,Armstrong Standard Vinyl Standard Excelon Imperial Texture Vinyl Composition 12in x 12in 1/8in,675,SF,1VNL,Vinyl
SPT,107776,SPT121517,33605,191791-013,Armstrong Standard Vinyl Crown Texture Vinyl Composition 12in x 12in 3.2 MM,270,SF,1VNL,Vinyl
SPT,107776,SPT121515,33605,190556-080,Armstrong Luxury Vinyl Natural Creations ArborArt Diamond 10 Solid/Luxury Vinyl 6in x 36in .125,4050,SF,1VNL,Vinyl
SPT,107776,SPT121515,33605,126732-002,Armstrong Standard Vinyl Standard Excelon Imperial Texture Vinyl Composition 12in x 12in 1/8in,180,SF,1VNL,Vinyl
SPT,107776,SPT121406,33605,126732-102,Armstrong Standard Vinyl Standard Excelon Imperial Texture Vinyl Composition 12in x 12in 1/8in,360,SF,1VNL,Vinyl
SPT,104653,SPT121387,33605,216208-001,Bloomsburg Custm Gulfshore Playhouse Woven Synthetic 13'2in - Gulfshores Playhouse(Custom),588.62,SY,1CBL,Carpet BL
SPT,121550,SPT121355,33605,216306-004,Mohawk Adaptable Tile Custom Ecoflex Air Tufted Textured Pattern Multi Colored Loop 24in x 24in 17 oz - Cadet(569),312,SY,1CPT,Carpet Tile
SPT,121550,SPT121123,33605,182499-010,Mohawk Streetscapes EcoFlex ICT Patterned Tip Sheared 24in x 24in 18 oz.,320,SY,1CPT,Carpet Tile
SPT,121550,SPT121123,33605,184959-005,Mohawk Standard Vinyl Hot and Heavy Bolder Loose Lay 36in x 36in 5.0mm,216,SF,1VNL,Vinyl
SPT,121550,SPT120921,33605,203943-006,Mohawk Xeric Tile EcoFlex NXT Tufted Textured Pattern Loop 12in x 36in 22 oz.,849.24,SY,1CPT,Carpet Tile
SPT,121550,SPT120921,33605,203943-006,Mohawk Xeric Tile EcoFlex NXT Tufted Textured Pattern Loop 12in x 36in 22 oz.,0.01,SY,1CPT,Carpet Tile
SPT,129793,SPT120734,33605,216049-002,Allied Tile Mfg. Corp Standard Vinyl Organics Collection 20 Mil Clear PVC Commercial Grade 18in x 18in 3 MM - WHITE(SC501),288,SF,1VNL,Vinyl
SPJ,103423,SPJ163102,32256,208658-003,Shaw Contract Diffuse  StrataWorx Multi Level Pattern Loop 24in x 24in 16 oz.,186.66,SY,1CPT,Carpet Tile
SPJ,121550,SPJ163092,32256,214270-001,Mohawk Medella Hues Healthy Environments Resilient 6' 7in 2.0 MM,65,SY,1VNL,Vinyl
SPT,102775,87724-REV,33605,203809-028,Interfaceflor Reincartion (1232102500) Tufted Cut & Loop 50cm x 50cm - Cosmic Blue (8909),406.64,SY,1CPT,Carpet Tile
