SITE,SITE DESCRIPTION,SUPPLIER NO,SUPPLIER NAME,INVOICE ID,INVOICE NO,DATE POSTED,PROJECT ID,PROJECT NAME,ACCOUNT,ACCOUNT DESCRIPTION,PLANNED DELIVERY DATE,SHIP TO ZIP,PO NO,PO LINE NO,PO REL NO,RECEIPT NO,PART NO,PART DESCRIPTION,COMM 1,COMM 2,PO PURCH QTY,PURCH UOM,PO INV QTY,INV UOM,INVOICED LINE QTY,INVOICE LINE TOTAL,PO PRICE,PO_HAS_PROJECT_FREIGHT,TOTAL_PO_VALUE,PROJECT_FREIGHT_COST,PRODUCT_ONLY_PO_VALUE,PROJECT_FREIGHT_PERCENT,FREIGHT_PERCENT_EXCL_PRODUCT,FREIGHT_≥90%_OF_PO,FREIGHT_GT_PRODUCT,NEGATIVE_FREIGHT_PERCENT,PROJECT_FREIGHT_LINE_COUNT,PO_HAS_MULTIPLE_PROJECT_FREIGHT_LINES,HIGH_FREIGHT_FLAG,PART DESCRIPTION CLEAN,IS_LABOR,PRODUCT_ORDER_COUNT,PRODUCT_ORDER_RANK,UOM_COMPARISON_STATUS,PO_INVOICE_COMPOSITE_KEY,PO_COMPOSITE_KEY_CONSISTENCY,Commodity Group,Description,Old/New,Priority,IS_MANUAL,ALL_PRIORITY,PRIORITY_PO_FLAG
BNB,Beckers New Brighton,103423,"Shaw Industries, Inc.",436654,9267643,5-Jan-24,2311123178,PIEDMONT OFFICE REALTY,2008,Received Not Yet Invoiced,8-Dec-23,55430,43258,1,1,2.0,202655-013,Shaw Contract Source (5T315) Multi Level Pattern Loop 9in x 36in - Wild (05557),1CPT,2CPT,250.0,SY,250.0,SY,5.0,116.65,116.65,False,5832.5,0.0,5832.5,0.0,0.0,False,False,False,0,False,False,SHAW CONTRACT SOURCE (5T315) MULTI LEVEL PATTERN LOOP 9IN X 36IN - WILD (05557),True,,,Match,43258|436654|9267643,Consistent,1CPT,Carpet Tile,New Commodity,Yes,False,True,True
BNB,Beckers New Brighton,103423,"Shaw Industries, Inc.",436654,9267643,5-Jan-24,2311123178,PIEDMONT OFFICE REALTY,2008,Received Not Yet Invoiced,8-Dec-23,55430,43258,1,1,1.0,202655-013,Shaw Contract Source (5T315) Multi Level Pattern Loop 9in x 36in - Wild (05557),1CPT,2CPT,250.0,SY,250.0,SY,245.0,5715.85,5715.85,False,5832.5,0.0,5832.5,0.0,0.0,False,False,False,0,False,False,SHAW CONTRACT SOURCE (5T315) MULTI LEVEL PATTERN LOOP 9IN X 36IN - WILD (05557),True,,,Match,43258|436654|9267643,Consistent,1CPT,Carpet Tile,New Commodity,Yes,False,True,True
BNB,Beckers New Brighton,121019,"Bentley Mills, Inc.",436732,825451,5-Jan-24,2312126788,Agribank Conference Stair Carpet,2008,Received Not Yet Invoiced,12-Dec-23,55430,44746,1,1,1.0,209801-003,Bentley-Color Core (4EOT00620R)-High PerformancePC-12'-Cook (402542),1CBL,2CBL,49.0,SY,49.0,SY,49.0,1018.71,1018.71,False,1018.71,0.0,1018.71,0.0,0.0,False,False,False,0,False,False,BENTLEY-COLOR CORE (4EOT00620R)-HIGH PERFORMANCEPC-12'-COOK (402542),False,1.0,129.0,Match,44746|436732|825451,Consistent,1CBL,Carpet BL,New Commodity,Yes,False,True,True
BNB,Beckers New Brighton,102775,"Interface Americas, Inc.",465374,2471496,24-Jan-24,2312127133,MN TWINS SUITE REMODEL,2008,Received Not Yet Invoiced,5-Jan-24,55430,51086,1,1,1.0,195433-004,Interface Studio Set (A007xx) 22 mil vinyl plank 25cm x 1m 4.5 mm - Espresso (04),1VNL,2LVP,322.92,SF,322.92,SF,322.92,1130.22,1130.22,False,1130.22,0.0,1130.22,0.0,0.0,False,False,False,0,False,False,INTERFACE STUDIO SET (A007XX) 22 MIL VINYL PLANK 25CM X 1M 4.5 MM - ESPRESSO (04),False,13.0,117.0,Match,51086|465374|2471496,Consistent,1VNL,Vinyl,New Commodity,Yes,False,True,True
BNB,Beckers New Brighton,103423,"Shaw Industries, Inc.",465344,9445000,24-Jan-24,2311123437,UOFM COFFMAN HALL - THEATRE - ANNEX,2008,Received Not Yet Invoiced,14-Dec-23,55430,45234,1,1,1.0,204976-002,Shaw Contract Intention 18X36 (5T360) Undefined 18in x 36in - Lacquer (58496),1CPT,2CPT,140.0,SY,140.0,SY,140.0,3438.4,3438.4,False,3438.4,0.0,3438.4,0.0,0.0,False,False,False,0,False,False,SHAW CONTRACT INTENTION 18X36 (5T360) UNDEFINED 18IN X 36IN - LACQUER (58496),True,,,Match,45234|465344|9445000,Consistent,1CPT,Carpet Tile,New Commodity,Yes,False,True,True
BNB,Beckers New Brighton,104804,Spartan Surfaces,476553,661838,1-Feb-24,2401131445,WINNERS CHAPEL MN (MATERIALS),2008,Received Not Yet Invoiced,26-Jan-24,55430,55905,1,1,1.0,1000010294,KRAUS 7801 IMPULSE RAIN DUNES 05  25CM X 1M / 6.37 YDS PER CTN,1CPT,2CPT,38.22,SY,38.22,SY,38.22,697.13,697.13,False,697.13,0.0,697.13,0.0,0.0,False,False,False,0,False,False,KRAUS 7801 IMPULSE RAIN DUNES 05  25CM X 1M / 6.37 YDS PER CTN,False,1.0,129.0,Match,55905|476553|661838,Consistent,1CPT,Carpet Tile,New Commodity,Yes,False,True,True
BNB,Beckers New Brighton,122068,"E.J. Welch Co., Inc.",498461,SO10893482.001,13-Feb-24,2401129825,The Carlyle Residence Guest Suites,2008,Received Not Yet Invoiced,20-Jan-24,55430,55533,1,1,1.0,1000009942,CHENEY CARPETS STYLE SANTA MONICA COLOR 949 URBAN 12' WIDTH BROADLOOM,1CBL,2CBL,69.0,SY,69.0,SY,69.0,1310.31,1310.31,False,1310.31,0.0,1310.31,0.0,0.0,False,False,False,0,False,False,CHENEY CARPETS STYLE SANTA MONICA COLOR 949 URBAN 12' WIDTH BROADLOOM,False,2.0,128.0,Match,55533|498461|SO10893482.001,Consistent,1CBL,Carpet BL,New Commodity,Yes,False,True,True
BNB,Beckers New Brighton,102775,"Interface Americas, Inc.",524482,2475243,28-Feb-24,2401131244,SITECORE MPLS (T3 BUILDING-STE 360),2008,Received Not Yet Invoiced,18-Jan-24,55430,55052,1,1,1.0,196374-002,Interface French Seams (25550AK00) Tufted Cut & Loop 25cm x 1m - Toulouse (105605),1CPT,2CPT,77.74,SY,77.74,SY,77.74,2152.62,2152.62,False,5133.17,0.0,5133.17,0.0,0.0,False,False,False,0,False,False,INTERFACE FRENCH SEAMS (25550AK00) TUFTED CUT & LOOP 25CM X 1M - TOULOUSE (105605),False,1.0,129.0,Match,55052|524482|2475243,Consistent,1CPT,Carpet Tile,New Commodity,Yes,False,True,True
BNB,Beckers New Brighton,102775,"Interface Americas, Inc.",524482,2475243,28-Feb-24,2401131244,SITECORE MPLS (T3 BUILDING-STE 360),2008,Received Not Yet Invoiced,18-Jan-24,55430,55052,2,1,1.0,196374-001,Interface French Seams (25550AK00) Tufted Cut & Loop 25cm x 1m - Chantilly (105604),1CPT,2CPT,107.64,SY,107.64,SY,107.64,2980.55,2980.55,False,5133.17,0.0,5133.17,0.0,0.0,False,False,False,0,False,False,INTERFACE FRENCH SEAMS (25550AK00) TUFTED CUT & LOOP 25CM X 1M - CHANTILLY (105604),False,5.0,125.0,Match,55052|524482|2475243,Consistent,1CPT,Carpet Tile,New Commodity,Yes,False,True,True
BNB,Beckers New Brighton,103423,"Shaw Industries, Inc.",501167,9734720,28-Feb-24,2402135321,HOPE ACADEMY LIBRARY,2008,Received Not Yet Invoiced,12-Feb-24,55430,62913,1,1,1.0,1000012615,"PATCRAFT UNDERLIE-VINYL (I0542) 18"" x 36"" ASPHALT (00590)",100,100,200.0,SY,200.0,SY,200.0,5834.0,5834.0,False,5834.0,0.0,5834.0,0.0,0.0,False,False,False,0,False,False,"PATCRAFT UNDERLIE-VINYL (I0542) 18"" X 36"" ASPHALT (00590)",False,1.0,129.0,Match,62913|501167|9734720,Consistent,100,Carpet Tiles,Old Commodity,Yes,False,True,True
