SITE,SITE DESCRIPTION,SUPPLIER NO,SUPPLIER NAME,PO NO,ACCOUNT,ACCOUNT DESCRIPTION,SHIP TO ZIP,PART NO,PART DESCRIPTION,PO PURCH QTY,PO INV QTY,INVOICED LINE QTY,PURCH UOM,INV UOM,INVOICE LINE TOTAL,PO PRICE,TOTAL_PO_VALUE,PO_HAS_PROJECT_FREIGHT,PROJECT_FREIGHT_COST,PROJECT_FREIGHT_PERCENT,PRODUCT_ONLY_PO_VALUE,FREIGHT_≥90%_OF_PO,FREIGHT_GT_PRODUCT,NEGATIVE_FREIGHT_PERCENT,PO_HAS_MULTIPLE_PROJECT_FREIGHT_LINES,COMM 1,Commodity Group,Description,Old/New,Priority,IS_MANUAL,PRIORITY_PO_FLAG,QTY_CONSISTENCY_FLAG,UOM_COMPARISON_STATUS,ALL_PRIORITY_2008,PRIORITY_PO_FLAG_2008
SPJ,Spectra Jacksonville,103423,"Shaw Industries, Inc.",40170,5504,PROJECT Freight,32256,,,,,1.0,,,793.3,,15118.56,True,793.3,0.052472,14325.26,False,False,False,False,nan,,,,,False,True,False,Missing INV UOM,True,True
SPJ,Spectra Jacksonville,103423,"Shaw Industries, Inc.",40170,5205,PROJECT PO Variance M181 & M182,,,,,,,,,0.04,,15118.56,True,793.3,0.052472,14325.26,False,False,False,False,nan,,,,,False,True,False,Missing INV UOM,True,True
SPJ,Spectra Jacksonville,103423,"Shaw Industries, Inc.",40170,2008,Received Not Yet Invoiced,32256,204991-002,Shaw Contract Correspond (5T353) Multi Level Pattern Loop 24in x 24in - Balanced (52485),91.0,808.08,91.0,CTN,SY,14325.22,14325.22,15118.56,True,793.3,0.052472,14325.26,False,False,False,False,1CPT,1CPT,Carpet Tile,New Commodity,Yes,False,True,False,Mismatch,True,True
SPJ,Spectra Jacksonville,121550,Mohawk Industries,44286,5504,PROJECT Freight,32256,,,,,1.0,,,88.0,,2122.07,True,88.0,0.041469,2034.07,False,False,False,False,nan,,,,,False,True,False,Missing INV UOM,True,True
SPJ,Spectra Jacksonville,121550,Mohawk Industries,44286,2008,Received Not Yet Invoiced,32256,1000003305,Mohawk-Juniperus II (C2059)-6ft 6in-2.0 MM-Temperate (817),80.04,80.04,44.3,SY,SY,1125.66,1125.66,2122.07,True,88.0,0.041469,2034.07,False,False,False,False,20,20,Sheet Vinyl,Old Commodity,Yes,False,True,False,Match,True,True
SPJ,Spectra Jacksonville,121550,Mohawk Industries,44286,2008,Received Not Yet Invoiced,32256,1000003305,Mohawk-Juniperus II (C2059)-6ft 6in-2.0 MM-Temperate (817),80.04,80.04,35.74,SY,SY,908.15,908.15,2122.07,True,88.0,0.041469,2034.07,False,False,False,False,20,20,Sheet Vinyl,Old Commodity,Yes,False,True,False,Match,True,True
SPJ,Spectra Jacksonville,121550,Mohawk Industries,44286,5205,PROJECT PO Variance M181 & M182,,,,,,,,,0.26,,2122.07,True,88.0,0.041469,2034.07,False,False,False,False,nan,,,,,False,True,False,Missing INV UOM,True,True
SPJ,Spectra Jacksonville,121550,Mohawk Industries,45323,2008,Received Not Yet Invoiced,32256,181535-006,Mohawk Hot and Heavy Secoya (C0009) 20 Mil Floating LVT 9in x 59in 5.0mm - Picton Park (872),342.6,342.6,342.6,SF,SF,959.28,959.28,1047.28,True,88.0,0.084027,959.28,False,False,False,False,1VNL,1VNL,Vinyl,New Commodity,Yes,False,True,True,Match,True,True
SPJ,Spectra Jacksonville,121550,Mohawk Industries,45323,5504,PROJECT Freight,32256,,,,,1.0,,,88.0,,1047.28,True,88.0,0.084027,959.28,False,False,False,False,nan,,,,,False,True,False,Missing INV UOM,True,True
SPJ,Spectra Jacksonville,126695,Tarkett USA Inc,41759,2008,Received Not Yet Invoiced,32256,188968-001,Centiva Event Series Classic Plank (ECK) Square Edge (SE) tural Grain (NG) 6in x 36in 3 MM - American Cherry (3305),108.0,108.0,108.0,SF,SF,162.0,162.0,267.0,True,105.0,0.393258,162.0,False,False,False,False,1VNL,1VNL,Vinyl,New Commodity,Yes,False,True,True,Match,True,True
