po_no,account,account_description,siteid,site,supplierid,suppliername,partnumber,partdescription,commodity_group,commoditydescription,quantity,uom,po_freight_cost,conversion_code
14034,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,103423,"Shaw Industries, Inc.",207384-010,Shaw Tile Resurface Tile (GX168) Multi Level Pattern Loop 12in x 48in - Flint (68760),1CPT,Carpet Tile,112,SQYD,770,Carpet_Tile_1CPT_SQYD
14034,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,103423,"Shaw Industries, Inc.",189586-010,Shaw Tile Foundation Tile (5T169) Textured Loop 12in x 48in - Flint (68760),1CPT,Carpet Tile,421.33,SQYD,770,Carpet_Tile_1CPT_SQYD
14208,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,104993,"Forbo Industries, Inc",170357-005,Forbo Flotex Peng Flocked 20in x 20in - Ash (382031),1CPT,Carpet Tile,17,SQYD,42.48,Carpet_Tile_1CPT_SQYD
18344,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",199315-003,Shaw Patcraft Eastern Facade (I0515) Multi Level Pattern Loop 24in x 24in - Graffiti (00430),1CPT,Carpet Tile,88.88,SQYD,98.33,Carpet_Tile_1CPT_SQYD
25085,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",204332-005,Shaw Contract Makerspace (5T325) Multi Level Pattern Loop 24in x 24in - Gunta (23668),1CPT,Carpet Tile,106.35,SQYD,164.51,Carpet_Tile_1CPT_SQYD
25263,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,121550,Mohawk Industries,193020-007,Mohawk Lichen Macro Bloom (GT388) Tufted Textured Pattern Loop 12in x 36in - Felt Finish (975),1CPT,Carpet Tile,13.99,SQYD,203.91,Carpet_Tile_1CPT_SQYD
25263,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,121550,Mohawk Industries,193018-001,Mohawk Lichen Groundcover (GT402) Tufted Textured Pattern Loop 12in x 36in - Rock Face (949),1CPT,Carpet Tile,28.02,SQYD,203.91,Carpet_Tile_1CPT_SQYD
25263,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,121550,Mohawk Industries,193019-007,Mohawk Lichen Micro Bloom (GT397) Tufted Textured Pattern Loop 12in x 36in - Felt Finish (975),1CPT,Carpet Tile,74.72,SQYD,203.91,Carpet_Tile_1CPT_SQYD
25264,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,103423,"Shaw Industries, Inc.",182634-031,Shaw Contract Color Frame EW2 (5T081) Undefined 24in x 24in - Ember (81870),1CPT,Carpet Tile,5,SQYD,1649.24,Carpet_Tile_1CPT_SQYD
25264,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,103423,"Shaw Industries, Inc.",182402-003,Shaw Contract Achromatic (5T107) Undefined 18in x 36in - Silver (07518),1CPT,Carpet Tile,85,SQYD,1649.24,Carpet_Tile_1CPT_SQYD
