COMM 1,COMM 2,Commodity Group,Description,Old/New,Priority,UNIQUE_UOMS
10,10,10,Carpet,Old Commodity,Yes,SY
10,10,10,Carpet,Old Commodity,Yes,SF
10,10,10,Carpet,Old Commodity,Yes,LF
10,10,10,Carpet,Old Commodity,Yes,EA
10,10,10,Carpet,Old Commodity,Yes,BOX
10,100,10,Carpet,Old Commodity,Yes,SY
100,10,100,Carpet Tiles,Old Commodity,Yes,SY
100,100,100,Carpet Tiles,Old Commodity,Yes,SY
100,100,100,Carpet Tiles,Old Commodity,Yes,SF
100,100,100,Carpet Tiles,Old Commodity,Yes,EA
100,100,100,Carpet Tiles,Old Commodity,Yes,PCS
100,100,100,Carpet Tiles,Old Commodity,Yes,CTN
100,100,100,Carpet Tiles,Old Commodity,Yes,yd2
1000,1000,1000,Mapei Products,Old Commodity,No,EA
1000,1000,1000,Mapei Products,Old Commodity,No,SF
1020,1020,1020,Terrazzo,Old Commodity,No,SF
1020,1020,1020,Terrazzo,Old Commodity,No,EA
1020,1020,1020,Terrazzo,Old Commodity,No,GAL
1060,1060,1060,Backing,Old Commodity,No,SY
1060,1060,1060,Backing,Old Commodity,No,EA
1070,1070,1070,Wallcovering,Old Commodity,No,EA
1070,1070,1070,Wallcovering,Old Commodity,No,SF
1090,1090,1090,Underlayment,Old Commodity,No,EA
1090,1090,1090,Underlayment,Old Commodity,No,ROLL
1090,1090,1090,Underlayment,Old Commodity,No,SF
1110,1110,1110,Sheet Rubber,Old Commodity,No,SF
1130,1130,1130,Rubber Transitions,Old Commodity,No,EA
1130,1130,1130,Rubber Transitions,Old Commodity,No,PCS
1130,1130,1130,Rubber Transitions,Old Commodity,No,LF
1140,1140,1140,Sundries,Old Commodity,No,EA
1140,1140,1140,Sundries,Old Commodity,No,LF
1140,1140,1140,Sundries,Old Commodity,No,pkg
1140,1140,1140,Sundries,Old Commodity,No,CTN
1140,1140,1140,Sundries,Old Commodity,No,GAL
1190,1190,1190,Safety/PPE,Old Commodity,No,PR
120,120,120,Inbound Freight,Old Commodity,No,EA
150,150,150,Cage - Adhesives & Supplies,Old Commodity,No,EA
150,150,150,Cage - Adhesives & Supplies,Old Commodity,No,SF
150,150,150,Cage - Adhesives & Supplies,Old Commodity,No,LF
150,150,150,Cage - Adhesives & Supplies,Old Commodity,No,CTN
150,150,150,Cage - Adhesives & Supplies,Old Commodity,No,SY
150,150,150,Cage - Adhesives & Supplies,Old Commodity,No,PCS
150,150,150,Cage - Adhesives & Supplies,Old Commodity,No,ROLL
150,150,150,Cage - Adhesives & Supplies,Old Commodity,No,BOX
160,160,160,Rugs,Old Commodity,No,EA
190,190,190,Wood Transitions,Old Commodity,No,EA
190,190,190,Wood Transitions,Old Commodity,No,LF
1ACC,1ACC,1ACC,Accessories,New Commodity,No,EA
1ACC,1ACC,1ACC,Accessories,New Commodity,No,PCS
1ACC,1ACC,1ACC,Accessories,New Commodity,No,LF
1ACC,1MISC,1ACC,Accessories,New Commodity,No,EA
1ACC,2ALL,1ACC,Accessories,New Commodity,No,EA
1ACC,2CAUK,1ACC,Accessories,New Commodity,No,EA
1ACC,2EQPT,1ACC,Accessories,New Commodity,No,EA
1ACC,2GRTT,1ACC,Accessories,New Commodity,No,EA
1ACC,2INS,1ACC,Accessories,New Commodity,No,EA
1ACC,2MISC,1ACC,Accessories,New Commodity,No,ROLL
1ACC,2MISC,1ACC,Accessories,New Commodity,No,LF
1ACC,2NOSG,1ACC,Accessories,New Commodity,No,EA
1ACC,2RUBR,1ACC,Accessories,New Commodity,No,EA
1ACC,2SUN,1ACC,Accessories,New Commodity,No,EA
1ACC,2TRMP,1ACC,Accessories,New Commodity,No,EA
1ACC,2VNL,1ACC,Accessories,New Commodity,No,EA
1ACC,2VNRB,1ACC,Accessories,New Commodity,No,EA
1ACC,2VNRB,1ACC,Accessories,New Commodity,No,CTN
1ACC,2VNRB,1ACC,Accessories,New Commodity,No,PCS
1ACC,2VNRB,1ACC,Accessories,New Commodity,No,LF
1ACC,2VNRB,1ACC,Accessories,New Commodity,No,ROLL
1ACC,2WELD,1ACC,Accessories,New Commodity,No,EA
1ACC,2WELD,1ACC,Accessories,New Commodity,No,COIL
1ACC,2WELD,1ACC,Accessories,New Commodity,No,LF
1ACC,2WELD,1ACC,Accessories,New Commodity,No,ROLL
1ACC,2WELD,1ACC,Accessories,New Commodity,No,SY
1ACC,2WELD,1ACC,Accessories,New Commodity,No,CTN
1ACC,2WELD,1ACC,Accessories,New Commodity,No,SF
1ACC,2WELD,1ACC,Accessories,New Commodity,No,*
1ACC,2WOOD,1ACC,Accessories,New Commodity,No,LF
1ACC,2WOOD,1ACC,Accessories,New Commodity,No,EA
1ADH,1ADH,1ADH,Adhesive,New Commodity,No,EA
1ADH,1ADH,1ADH,Adhesive,New Commodity,No,ROLL
1ADH,1ADH,1ADH,Adhesive,New Commodity,No,GAL
1ADH,2ADH,1ADH,Adhesive,New Commodity,No,EA
1ADH,2ADH,1ADH,Adhesive,New Commodity,No,gal
1ADH,2ADH,1ADH,Adhesive,New Commodity,No,CTN
1ADH,2ADH,1ADH,Adhesive,New Commodity,No,GAL
1ADH,2ADH,1ADH,Adhesive,New Commodity,No,BOX
1ADH,2ADH,1ADH,Adhesive,New Commodity,No,LF
1ADH,2ADH,1ADH,Adhesive,New Commodity,No,SY
1ADH,2ADH,1ADH,Adhesive,New Commodity,No,CS
1ADH,2ADH,1ADH,Adhesive,New Commodity,No,KIT
1ADH,2ADH,1ADH,Adhesive,New Commodity,No,ROLL
1ADH,2ADH,1ADH,Adhesive,New Commodity,No,g
1ADH,2ADH,1ADH,Adhesive,New Commodity,No,SF
1ADH,2MISC,1ADH,Adhesive,New Commodity,No,ROLL
1ADH,2ROLL,1ADH,Adhesive,New Commodity,No,ROLL
1BASE,1BASE,1BASE,Base,New Commodity,No,LF
1BASE,1BASE,1BASE,Base,New Commodity,No,EA
1BASE,1BASE,1BASE,Base,New Commodity,No,SF
1BASE,2BASE,1BASE,Base,New Commodity,No,EA
1BASE,2BASE,1BASE,Base,New Commodity,No,LF
1BASE,2BASE,1BASE,Base,New Commodity,No,SF
1BASE,2BASE,1BASE,Base,New Commodity,No,CTN
1BASE,2BASE,1BASE,Base,New Commodity,No,PCS
1BASE,2BASE,1BASE,Base,New Commodity,No,ROLL
1BASE,2BASE,1BASE,Base,New Commodity,No,gal
1BASE,2CRPT,1BASE,Base,New Commodity,No,LF
1BASE,2CRPT,1BASE,Base,New Commodity,No,EA
1BASE,2MIX,1BASE,Base,New Commodity,No,LF
1BASE,2MIX,1BASE,Base,New Commodity,No,CTN
1BASE,2MIX,1BASE,Base,New Commodity,No,PCS
1BASE,2MIX,1BASE,Base,New Commodity,No,COIL
1BASE,2MIX,1BASE,Base,New Commodity,No,EA
1BASE,2RUBR,1BASE,Base,New Commodity,No,LF
1BASE,2RUBR,1BASE,Base,New Commodity,No,EA
1BASE,2RUBR,1BASE,Base,New Commodity,No,SY
1BASE,2RUBR,1BASE,Base,New Commodity,No,COIL
1BASE,2RUBR,1BASE,Base,New Commodity,No,CTN
1BASE,2RUBR,1BASE,Base,New Commodity,No,PCS
1BASE,2RUBR,1BASE,Base,New Commodity,No,ROLL
1BASE,2VNL,1BASE,Base,New Commodity,No,LF
1BASE,2VNL,1BASE,Base,New Commodity,No,COIL
1BASE,2VNL,1BASE,Base,New Commodity,No,CTN
1BASE,2VNL,1BASE,Base,New Commodity,No,EA
1BASE,2VNL,1BASE,Base,New Commodity,No,ft
1BASE,2VNL,1BASE,Base,New Commodity,No,PCS
1CBL,1CBL,1CBL,Carpet BL,New Commodity,Yes,SY
1CBL,1CPT,1CBL,Carpet BL,New Commodity,Yes,SY
1CBL,2CBL,1CBL,Carpet BL,New Commodity,Yes,SY
1CBL,2CBL,1CBL,Carpet BL,New Commodity,Yes,SF
1CBL,2CBL,1CBL,Carpet BL,New Commodity,Yes,EA
1CBL,2CBL,1CBL,Carpet BL,New Commodity,Yes,LF
1CBL,2CBL,1CBL,Carpet BL,New Commodity,Yes,CTN
1CBL,2CBL,1CBL,Carpet BL,New Commodity,Yes,PCS
1CBL,2CBL,1CBL,Carpet BL,New Commodity,Yes,ROLL
1CBL,2CRPT,1CBL,Carpet BL,New Commodity,Yes,SY
