site,site_description,supplier_no,supplier_name,invoice_id,invoice_no,date_posted,project_id,project_name,account,account_description,planned_delivery_date,ship_to_zip,po_no,po_line_no,po_rel_no,receipt_no,part_no,part_description,comm_1,comm_2,po_purch_qty,purch_uom,po_inv_qty,inv_uom,invoiced_line_qty,invoice_line_total,po_price,commodity_group,description,old/new,priority,match_commodity,match_supplier,classification,new_commodity_description,new_commodity_group,conversion_code,all_accounts_2008_uom_classified,all_2008_accounts_converted,has_freight_line,multiple_freight_lines,multiple_parts,multiple_commodities,all__invoice_priority_products_(2008),any__invoice_priority_products_(2008),freight_per_invoice
DIT,Diverzify Itasca,890,All Surfaces,443670,5378334,10-Jan-24,2311123624,Rick Sidor Residence,2008,Received Not Yet Invoiced,22-Dec-23,60143.0,47568,1,1,1.0,1000008205,"FirmFit Casebella Stateside CWH-5773 6mm x 9.1"" x 60.3"" 22 mil Parkview LVT",1VNL,2LVT,1013.89,SF,1013.89,SQFT,1013.89,2727.36,2727.36,1VNL,Vinyl,New Commodity,Yes,Commodity Found,Supplier registered,Classified,LVT,1VNL,LVT_1VNL_SQFT,True,True,True,False,False,False,True,True,54.55
DIT,Diverzify Itasca,108164,"Mannington Mills, Inc.",454017,98533229,17-Jan-24,230485284,Epic Delphi Conference Room Refresh,2008,Received Not Yet Invoiced,4-Dec-23,60143.0,40635,1,1,1.0,1000006036,Mannington Amtico Stone 18in x 18in 2.5MM - Stria Sediment (AROSMS14),1VNL,2LVT,180.0,SF,180.0,SQFT,180.0,846.0,846.0,1VNL,Vinyl,New Commodity,Yes,Commodity Found,Supplier registered,Classified,LVT,1VNL,LVT_1VNL_SQFT,True,True,True,False,False,False,True,True,49.55
DIT,Diverzify Itasca,890,All Surfaces,457800,5392192,19-Jan-24,2310119387,Round Barn Manor,2008,Received Not Yet Invoiced,3-Jan-24,60143.0,49453,1,1,3.0,1000008746,Congoleum Triversa Prime 9in x 60in 6MM - Fawn (TX181),1VNL,2LVP,3134.6,SF,3134.6,SQFT,3134.6,7993.23,7993.23,1VNL,Vinyl,New Commodity,Yes,Commodity Found,Supplier registered,Classified,LVP,1VNL,LVP_1VNL_SQFT,True,True,True,False,False,False,True,True,159.86
DIT,Diverzify Itasca,103423,"Shaw Industries, Inc.",466275,9489866,25-Jan-24,2401130627,Hotel Zachary - Tenant 9 Elevator F,2008,Received Not Yet Invoiced,10-Jan-24,60143.0,52075,1,1,1.0,1000009308,"Shaw Unite 0927V 9"" x 48"" 27585 Cornerstone",1VNL,2LVP,120.0,SF,120.0,SQFT,120.0,451.2,451.2,1VNL,Vinyl,New Commodity,Yes,Commodity Found,Supplier registered,Classified,LVP,1VNL,LVP_1VNL_SQFT,True,True,True,False,False,False,True,True,86.14
DIT,Diverzify Itasca,103423,"Shaw Industries, Inc.",559703,9809373,20-Mar-24,2402136755,Arrow Electronics,2008,Received Not Yet Invoiced,13-Feb-24,60143.0,64012,1,1,1.0,1000012638,Shaw Industries Reside (20 mil) (4381V) Resilient 6in x 47in Pause (94580),1VNL,2LVT,1961.9,SF,1961.9,SQFT,85.3,141.6,141.6,1VNL,Vinyl,New Commodity,Yes,Commodity Found,Supplier registered,Classified,LVT,1VNL,LVT_1VNL_SQFT,True,True,True,False,False,False,True,True,88.5
DIT,Diverzify Itasca,103423,"Shaw Industries, Inc.",559715,9851241,20-Mar-24,2402136755,Arrow Electronics,2008,Received Not Yet Invoiced,13-Feb-24,60143.0,64012,1,1,2.0,1000012638,Shaw Industries Reside (20 mil) (4381V) Resilient 6in x 47in Pause (94580),1VNL,2LVT,1961.9,SF,1961.9,SQFT,1876.6,3115.16,3115.16,1VNL,Vinyl,New Commodity,Yes,Commodity Found,Supplier registered,Classified,LVT,1VNL,LVT_1VNL_SQFT,True,True,True,False,False,False,True,True,331.28
DIT,Diverzify Itasca,121019,"Bentley Mills, Inc.",562903,834225,21-Mar-24,2402138723,Wrigley suite N1010,2008,Received Not Yet Invoiced,20-Feb-24,60143.0,65366,1,1,1.0,1000005008,Bentley Moment (BMMNT) 20 mil glue down plank 9in x 48in 2.5 MM - ORGANIC (801985),1VNL,2LVP,96.0,SF,96.0,SQFT,96.0,181.44,181.44,1VNL,Vinyl,New Commodity,Yes,Commodity Found,Supplier registered,Classified,LVP,1VNL,LVP_1VNL_SQFT,True,True,True,False,False,False,True,True,150.0
DIT,Diverzify Itasca,104804,Spartan Surfaces,592040,666351,4-Apr-24,221174030,Lumen Fox Valley PH2,2008,Received Not Yet Invoiced,13-Mar-24,60143.0,73185,1,1,1.0,208270-006,Cobalt Surfaces-Petrous (P20-xxx)-20 Mil Rigid Core IXPE-7in x 48in-5.0mm-FAWN (401),1VNL,2VCT,3065.55,SF,3065.55,SQFT,3065.55,8307.64,8307.64,1VNL,Vinyl,New Commodity,Yes,Commodity Found,Supplier registered,Classified,VCT,1VNL,VCT_1VNL_SQFT,True,True,True,False,False,False,True,True,1043.0
DIT,Diverzify Itasca,103423,"Shaw Industries, Inc.",607962,9831043,14-Apr-24,2311122175,Westin Michigan Ave Prefunction Rep,2008,Received Not Yet Invoiced,29-Dec-23,60143.0,48733,1,1,1.0,1000008199,Shaw-Verve (5A352)-Synthetic-12'-Fervor (52761),1CBL,2CBL,50.0,SY,50.0,SQYD,50.0,3129.5,3129.5,1CBL,Carpet BL,New Commodity,Yes,Commodity Found,Supplier registered,Classified,Carpet Roll,1CBL,Carpet_Roll_1CBL_SQYD,True,True,True,False,False,False,True,True,88.5
DIT,Diverzify Itasca,103423,"Shaw Industries, Inc.",611694,9882994,16-Apr-24,221174030,Lumen Fox Valley PH2,5205,PROJECT PO Variance M181 & M182,3-Jan-24,60143.0,65045,1,1,1.0,1000007880,"Shaw- Upscale (60117) 12""- Synthetic- Fine Linen (00102)",1CBL,2CBL,11457.97,SY,11457.97,SQYD,,-0.01,,1CBL,Carpet BL,New Commodity,Yes,Commodity Found,Supplier registered,Classified,Carpet Roll,1CBL,Carpet_Roll_1CBL_SQYD,True,True,True,False,False,False,True,True,1831.0
DIT,Diverzify Itasca,103423,"Shaw Industries, Inc.",611694,9882994,16-Apr-24,221174030,Lumen Fox Valley PH2,2008,Received Not Yet Invoiced,3-Jan-24,60143.0,65045,1,1,1.0,1000007880,"Shaw- Upscale (60117) 12""- Synthetic- Fine Linen (00102)",1CBL,2CBL,11457.97,SY,11457.97,SQYD,11457.97,95788.64,95788.63,1CBL,Carpet BL,New Commodity,Yes,Commodity Found,Supplier registered,Classified,Carpet Roll,1CBL,Carpet_Roll_1CBL_SQYD,True,True,True,False,False,False,True,True,1831.0
DIT,Diverzify Itasca,100443,DALTILE,613250,142232887,30-Apr-24,2401134723,869 Blackhawk Material,2008,Received Not Yet Invoiced,9-Feb-24,60143.0,59551,1,1,1.0,1000011569,"Daltile - Pro Series - Cyrose 2mm 12 mil - 6"" x 48"" - Vinyl Plank - White Ash (CY30)",1VNL,2LVP,108.0,SF,108.0,SQFT,108.0,108.0,108.0,1VNL,Vinyl,New Commodity,Yes,Commodity Found,Supplier registered,Classified,LVP,1VNL,LVP_1VNL_SQFT,True,True,True,False,False,False,True,True,4.86
DIT,Diverzify Itasca,103423,"Shaw Industries, Inc.",584653,2171058,30-Apr-24,2401130681,Marriott Lincolnshire Room 3220,2008,Received Not Yet Invoiced,25-Mar-24,60143.0,77564,1,1,1.0,1000017558,Patcraft Sculpted (I0648) 12ft Synthetic - Amber (00110),10,10,32.0,SY,32.0,SQYD,32.0,576.0,576.0,10,Carpet,Old Commodity,Yes,Commodity Found,Supplier registered,Classified,Carpet Roll,1CBL,Carpet_Roll_1CBL_SQYD,True,True,True,False,False,False,True,True,34.85
DIT,Diverzify Itasca,102478,Matter Surfaces Inc,655571,981590,10-May-24,2312129230,Palmer House 5th Floor Kitchen,2008,Received Not Yet Invoiced,8-Apr-24,60143.0,82783,1,1,1.0,1000017792,"Matter Surfaces Super Nop Mat - Charcoal 13'2""x12'",1CBL,2CBL,158.04,SF,158.04,SQFT,158.04,655.87,655.87,1CBL,Carpet BL,New Commodity,Yes,Commodity Found,Supplier registered,Classified,Carpet Roll,1CBL,Carpet_Roll_1CBL_SQFT,True,True,True,False,False,False,True,True,151.2
DIT,Diverzify Itasca,104804,Spartan Surfaces,634257,669266,14-May-24,210345606,Metro 19 - ICP,2008,Received Not Yet Invoiced,19-Apr-24,60143.0,87097,1,1,1.0,1000020092,Cobalt Surfaces - Katanga K12 - 2mm 12 mil	7x48 2mm 801 Myrtle LVT,1VNL,2LVT,164396.61,SF,164396.61,SQFT,56529.0,40135.59,40135.59,1VNL,Vinyl,New Commodity,Yes,Commodity Found,Supplier registered,Classified,LVT,1VNL,LVT_1VNL_SQFT,True,True,True,False,False,False,True,True,6750.0
DIT,Diverzify Itasca,121550,Mohawk Industries,666772,C2490892,16-May-24,2405154938,Encore- Hilton Chicago,2008,Received Not Yet Invoiced,15-May-24,60143.0,94160,1,1,1.0,1000017677,MOHAWK COLOR STUDY 30 (BC574) WELDLOK 12' - TRICON BLACK (999),1CBL,2CBL,53.34,SY,53.34,SQYD,53.34,727.02,727.02,1CBL,Carpet BL,New Commodity,Yes,Commodity Found,Supplier registered,Classified,Carpet Roll,1CBL,Carpet_Roll_1CBL_SQYD,True,True,True,False,False,False,True,True,54.95
DIT,Diverzify Itasca,101526,"Shaw Industries, Inc.",664551,2552203,17-May-24,2401133222,Downers Grove SD 58 - ONeill & Herr,2008,Received Not Yet Invoiced,2-May-24,60143.0,92037,5,1,1.0,1000020371,"Shaw Cultura Crossing Paths (4431V) 18"" x 18"" 2.5mm - Gesso (91520)",1VNL,2LVT,1044.0,SF,1044.0,SQFT,828.0,1937.52,1937.52,1VNL,Vinyl,New Commodity,Yes,Commodity Found,Supplier registered,Classified,LVT,1VNL,LVT_1VNL_SQFT,True,True,True,False,True,False,True,True,323.84
DIT,Diverzify Itasca,101526,"Shaw Industries, Inc.",664551,2552203,17-May-24,2401133222,Downers Grove SD 58 - ONeill & Herr,2008,Received Not Yet Invoiced,2-May-24,60143.0,92037,4,1,1.0,1000020358,"Shaw Cultura Crossing Paths (4431V) 18"" x 18"" 2.5mm - Eggshell (91111)",1VNL,2LVT,828.0,SF,828.0,SQFT,1044.0,2442.96,2442.96,1VNL,Vinyl,New Commodity,Yes,Commodity Found,Supplier registered,Classified,LVT,1VNL,LVT_1VNL_SQFT,True,True,True,False,True,False,True,True,323.84
DIT,Diverzify Itasca,890,All Surfaces,675665,5570163,22-May-24,2311123624,Rick Sidor Residence,2008,Received Not Yet Invoiced,14-Mar-24,60143.0,73930,1,1,1.0,1000008205,"FirmFit Casebella Stateside CWH-5773 6mm x 9.1"" x 60.3"" 22 mil Parkview LVT",1VNL,2LVT,76.52,SF,76.52,SQFT,76.52,205.84,205.84,1VNL,Vinyl,New Commodity,Yes,Commodity Found,Supplier registered,Classified,LVT,1VNL,LVT_1VNL_SQFT,True,True,True,False,False,False,True,True,7.54
DIT,Diverzify Itasca,121550,Mohawk Industries,632642,C2274904,27-May-24,2404147761,"Managers office 1403, 60 E",2008,Received Not Yet Invoiced,11-Apr-24,60143.0,82789,2,1,1.0,1000019664,Mohawk Molveno Stones (C0109) 11.75in x 35.75in x 20mil -  Perfect Greige (879),1VNL,2LVT,122.5,SF,122.5,SQFT,122.5,530.43,530.43,1VNL,Vinyl,New Commodity,Yes,Commodity Found,Supplier registered,Classified,LVT,1VNL,LVT_1VNL_SQFT,True,True,True,False,False,False,True,True,3.71
DIT,Diverzify Itasca,121019,"Bentley Mills, Inc.",660757,844232,30-May-24,2404153202,Real Page Reduction,2008,Received Not Yet Invoiced,10-May-24,60143.0,94935,1,1,1.0,1000015197,Bentley Memory (BMMRY0) 9in x 48in 2.5mm - Bungalow (801983),1VNL,2LVT,1632.0,SF,1632.0,SQFT,1632.0,3264.0,3264.0,1VNL,Vinyl,New Commodity,Yes,Commodity Found,Supplier registered,Classified,LVT,1VNL,LVT_1VNL_SQFT,True,True,True,False,False,False,True,True,489.59
DIT,Diverzify Itasca,102775,"Interface Americas, Inc.",691064,2519230,31-May-24,2404153460,The Brooks Institute,2008,Received Not Yet Invoiced,14-May-24,60143.0,96761,1,1,1.0,1000011649,Interface Northern Grain (A026) 25cm x 1m 4.5 mm 22 mil Dark Satin (A02612),1VNL,2VCT,538.2,SF,538.2,SQFT,538.2,1883.7,1883.7,1VNL,Vinyl,New Commodity,Yes,Commodity Found,Supplier registered,Classified,VCT,1VNL,VCT_1VNL_SQFT,True,True,True,False,False,False,True,True,245.38
DIT,Diverzify Itasca,101526,"Shaw Industries, Inc.",695535,2755615,3-Jun-24,2404150399,Wrigley suite N1020 CARPET,2008,Received Not Yet Invoiced,24-May-24,60143.0,100462,1,1,1.0,1000023359,Shaw Fond Broadloom (#5A370)12' - Vivid (#90515),10,,111.0,SY,111.0,SQYD,111.0,1171.05,1171.05,10,Carpet,Old Commodity,Yes,Commodity Found,Supplier registered,Classified,Carpet Roll,1CBL,Carpet_Roll_1CBL_SQYD,True,True,True,False,False,False,True,True,115.38
DIT,Diverzify Itasca,101526,"Shaw Industries, Inc.",705966,2838514,11-Jun-24,2402140693,Round Barn Manor Corridors,2008,Received Not Yet Invoiced,4-Jun-24,60143.0,103260,1,1,1.0,1000023976,Philadelphia Emphatic II 30 (54255) 12ft Synthetic - Clay Bisque (56153),10,10,375.0,SY,375.0,SQYD,375.01,4117.62,4117.61,10,Carpet,Old Commodity,Yes,Commodity Found,Supplier registered,Classified,Carpet Roll,1CBL,Carpet_Roll_1CBL_SQYD,True,True,True,False,False,False,True,True,388.47
DIT,Diverzify Itasca,101526,"Shaw Industries, Inc.",705966,2838514,11-Jun-24,2402140693,Round Barn Manor Corridors,5205,PROJECT PO Variance M181 & M182,4-Jun-24,60143.0,103260,1,1,1.0,1000023976,Philadelphia Emphatic II 30 (54255) 12ft Synthetic - Clay Bisque (56153),10,10,375.0,SY,375.0,SQYD,,-0.01,,10,Carpet,Old Commodity,Yes,Commodity Found,Supplier registered,Classified,Carpet Roll,1CBL,Carpet_Roll_1CBL_SQYD,True,True,True,False,False,False,True,True,388.47
DIT,Diverzify Itasca,107786,Dal Tile Corporation,709745,142281660,12-Jun-24,2311123665,LUC Steam Plant Office Interior Upg,2008,Received Not Yet Invoiced,7-Feb-24,60143.0,61359,1,1,1.0,1000012225,DALTILE	ELIXEN 2.5mm 7 x 47 VINTAGE PINE EX32,1VNL,2LVT,2825.28,SF,2825.28,SQFT,2825.28,3927.14,3927.14,1VNL,Vinyl,New Commodity,Yes,Commodity Found,Supplier registered,Classified,LVT,1VNL,LVT_1VNL_SQFT,True,True,True,False,False,False,True,True,177.55
DIT,Diverzify Itasca,126695,Tarkett USA Inc,705010,8201973871,12-Jun-24,2402138295,D227 Door #5 carpet,2008,Received Not Yet Invoiced,28-Mar-24,60143.0,79690,2,1,1.0,1000018002,Tarkett-Contour Modern Stone-32 mil Square Edge (SE)-12in x 24in-3 MM- Plank- Monteray  (PCMS 0633),1VNL,2LVP,9360.0,SF,9360.0,SQFT,6336.0,24393.6,23443.2,1VNL,Vinyl,New Commodity,Yes,Commodity Found,Supplier registered,Classified,LVP,1VNL,LVP_1VNL_SQFT,True,True,True,False,False,False,True,True,760.32
DIT,Diverzify Itasca,103423,"Shaw Industries, Inc.",682996,2712665,19-Jun-24,2404153295,CHS Rectory Carpeting,2008,Received Not Yet Invoiced,9-May-24,60143.0,96494,1,1,1.0,1000022017,Shaw Smart Thinking E9725 12' roll 00391 Lush Garden,10,10,142.0,SY,142.0,SQYD,142.0,2837.16,2837.16,10,Carpet,Old Commodity,Yes,Commodity Found,Supplier registered,Classified,Carpet Roll,1CBL,Carpet_Roll_1CBL_SQYD,True,True,True,False,False,False,True,True,148.12
DIT,Diverzify Itasca,122034,Engineered Floors LLC,723751,6-3622901,20-Jun-24,2402138862,LaGrange CC,2008,Received Not Yet Invoiced,29-May-24,60143.0,88885,1,1,1.0,1000020818,J&J Aperture II (9770) 12ft PremierBac Plus - Neutral Density (2262),10,10,844.0,SY,844.0,SQYD,843.98,28670.0,28670.0,10,Carpet,Old Commodity,Yes,Commodity Found,Supplier registered,Classified,Carpet Roll,1CBL,Carpet_Roll_1CBL_SQYD,True,True,True,False,False,False,True,True,588.02
DIT,Diverzify Itasca,121550,Mohawk Industries,636311,C2337878,21-Jun-24,221276742,Epic Sci Fi,2008,Received Not Yet Invoiced,20-Mar-24,60143.0,75576,1,1,1.0,1000016916,Mohawk Schema (BC508) 12ft Weldlok - Rdt10071 (641),1CBL,2CBL,219.0,SY,219.0,SQYD,234.66,6927.16,6927.16,1CBL,Carpet BL,New Commodity,Yes,Commodity Found,Supplier registered,Classified,Carpet Roll,1CBL,Carpet_Roll_1CBL_SQYD,True,True,True,False,False,False,True,True,303.59
DIT,Diverzify Itasca,121550,Mohawk Industries,731977,C2665159,25-Jun-24,2312127222,Blue Chip Casino Deli,2008,Received Not Yet Invoiced,31-May-24,60143.0,100317,1,1,1.0,1000017677,MOHAWK COLOR STUDY 30 (BC574) WELDLOK 12' - TRICON BLACK (999),1CBL,2CBL,18.66,SY,18.66,SQYD,18.66,254.34,254.34,1CBL,Carpet BL,New Commodity,Yes,Commodity Found,Supplier registered,Classified,Carpet Roll,1CBL,Carpet_Roll_1CBL_SQYD,True,True,True,False,False,False,True,True,19.07
DIT,Diverzify Itasca,121550,Mohawk Industries,708295,C2703937,27-Jun-24,2402136378,Hilton Ohare Ballroom and Lobby,2008,Received Not Yet Invoiced,29-Feb-24,60143.0,68663,1,1,3.0,1000014495,Mohawk Custom Definity (DY48X) QTW88774 Strike off# S0205063P 12ft Weldlok Colorway #2,10,10,348.0,SY,348.0,SQYD,145.66,5846.79,5846.79,10,Carpet,Old Commodity,Yes,Commodity Found,Supplier registered,Classified,Carpet Roll,1CBL,Carpet_Roll_1CBL_SQYD,True,True,True,False,False,False,True,True,148.75
