site,site_description,supplier_no,supplier_name,invoice_id,invoice_no,date_posted,project_id,project_name,account,account_description,planned_delivery_date,ship_to_zip,po_no,po_line_no,po_rel_no,receipt_no,part_no,part_description,comm_1,comm_2,po_purch_qty,purch_uom,po_inv_qty,inv_uom,invoiced_line_qty,invoice_line_total,po_price,commodity_group,description,old/new,priority,match_commodity,match_supplier,classification,new_commodity_description,new_commodity_group,conversion_code,all_accounts_2008_uom_classified,all_2008_accounts_converted,has_freight_line,multiple_freight_lines,multiple_parts,multiple_commodities,all__invoice_priority_products_(2008),any__invoice_priority_products_(2008),freight_per_invoice
DIT,Diverzify Itasca,103423,"Shaw Industries, Inc.",611694,9882994,16-Apr-24,221174030,Lumen Fox Valley PH2,5205,PROJECT PO Variance M181 & M182,3-Jan-24,60143.0,65045,1,1,1.0,1000007880,"Shaw- Upscale (60117) 12""- Synthetic- Fine Linen (00102)",1CBL,2CBL,11457.97,SY,11457.97,SQYD,,-0.01,,1CBL,Carpet BL,New Commodity,Yes,Commodity Found,Supplier registered,Classified,Carpet Roll,1CBL,Carpet_Roll_1CBL_SQYD,True,True,True,False,False,False,True,True,1831.0
DIT,Diverzify Itasca,101526,"Shaw Industries, Inc.",695535,2755615,3-Jun-24,2404150399,Wrigley suite N1020 CARPET,2008,Received Not Yet Invoiced,24-May-24,60143.0,100462,1,1,1.0,1000023359,Shaw Fond Broadloom (#5A370)12' - Vivid (#90515),10,,111.0,SY,111.0,SQYD,111.0,1171.05,1171.05,10,Carpet,Old Commodity,Yes,Commodity Found,Supplier registered,Classified,Carpet Roll,1CBL,Carpet_Roll_1CBL_SQYD,True,True,True,False,False,False,True,True,115.38
DIT,Diverzify Itasca,101526,"Shaw Industries, Inc.",705966,2838514,11-Jun-24,2402140693,Round Barn Manor Corridors,5205,PROJECT PO Variance M181 & M182,4-Jun-24,60143.0,103260,1,1,1.0,1000023976,Philadelphia Emphatic II 30 (54255) 12ft Synthetic - Clay Bisque (56153),10,10,375.0,SY,375.0,SQYD,,-0.01,,10,Carpet,Old Commodity,Yes,Commodity Found,Supplier registered,Classified,Carpet Roll,1CBL,Carpet_Roll_1CBL_SQYD,True,True,True,False,False,False,True,True,388.47
DIT,Diverzify Itasca,121550,Mohawk Industries,708300,C2703941,27-Jun-24,2402136378,Hilton Ohare Ballroom and Lobby,5205,PROJECT PO Variance M181 & M182,29-Feb-24,60143.0,68645,1,1,2.0,1000014495,Mohawk Custom Definity (DY48X) QTW88774 Strike off# S0205063P 12ft Weldlok Colorway #2,10,10,584.0,SY,584.0,SQYD,,-0.01,,10,Carpet,Old Commodity,Yes,Commodity Found,Supplier registered,Classified,Carpet Roll,1CBL,Carpet_Roll_1CBL_SQYD,True,True,True,False,False,False,True,True,431.17
DIT,Diverzify Itasca,121550,Mohawk Industries,1028827,C3055664,24-Jul-24,2403142332,Hilton Ohare LL Corridor,5205,PROJECT PO Variance M181 & M182,14-Mar-24,60143.0,74012,1,1,1.0,1000014495,Mohawk Custom Definity (DY48X) QTW101136/ Strike off# S0318022C 12ft Weldlok Colorway #1/ABAC-WEDLOCK,10,10,787.0,SY,787.0,SQYD,,-0.01,,10,Carpet,Old Commodity,Yes,Commodity Found,Supplier registered,Classified,Carpet Roll,1CBL,Carpet_Roll_1CBL_SQYD,True,True,True,False,False,False,True,True,904.25
DIT,Diverzify Itasca,121550,Mohawk Industries,1028781,C3055665,24-Jul-24,2404150135,Hilton Ohare Meeting Room and Retai,5205,PROJECT PO Variance M181 & M182,19-Apr-24,60143.0,87187,1,1,1.0,1000014495,Mohawk Custom Definity (DY48X) QTW88774 Strike off#S0206702C  12ft Weldlok Colorway #2 10% overage,10,10,574.0,SY,574.0,SQYD,,-0.01,,10,Carpet,Old Commodity,Yes,Commodity Found,Supplier registered,Classified,Carpet Roll,1CBL,Carpet_Roll_1CBL_SQYD,True,True,True,False,False,False,True,True,649.97
DIT,Diverzify Itasca,121550,Mohawk Industries,1030925,C3068917,24-Jul-24,2403142332,Hilton Ohare LL Corridor,5205,PROJECT PO Variance M181 & M182,14-Mar-24,60143.0,74005,1,1,1.0,1000014495,Mohawk Custom Definity (DY48X) QTW101138 Strike off# S0318023C 12ft Weldlok Colorway #1/ABAC-WEDLOCK,10,10,1012.0,SY,1012.0,SQYD,,-0.01,,10,Carpet,Old Commodity,Yes,Commodity Found,Supplier registered,Classified,Carpet Roll,1CBL,Carpet_Roll_1CBL_SQYD,True,True,True,False,False,False,True,True,688.28
DIT,Diverzify Itasca,103423,"Shaw Industries, Inc.",1206101,4193224,7-Nov-24,230587246,Chicago Athletic Association Guestr,5205,PROJECT PO Variance M181 & M182,20-Aug-24,60143.0,131994,1,1,1.0,1000030014,Shaw Custom Broadloom A5770\491406\F1615-2\36 oz Classicbac 12ft,1CBL,2CBL,9264.0,SY,9264.0,SQYD,,0.02,,1CBL,Carpet BL,New Commodity,Yes,Commodity Found,Supplier registered,Classified,Carpet Roll,1CBL,Carpet_Roll_1CBL_SQYD,True,True,True,False,False,False,True,True,1398.0
DIT,Diverzify Itasca,103423,"Shaw Industries, Inc.",1192283,4130096,8-Nov-24,221174030,Lumen Fox Valley PH2,5205,PROJECT PO Variance M181 & M182,2-Aug-24,60143.0,125922,1,1,1.0,1000028427,"Shaw Custom Cpt TRYK Number F1262459 Pattern VR95197CR1 10'x42'
subject to 15% overage
VR95197 F1262459_508164 SO#G7488 Custom Canvas - Eco-36 Classicbac, 12'W
REFER TO Rug Mfg Layout #762247 Rug A",1CBL,2CBL,201.0,SY,201.0,SQYD,,-0.01,,1CBL,Carpet BL,New Commodity,Yes,Commodity Found,Supplier registered,Classified,Carpet Roll,1CBL,Carpet_Roll_1CBL_SQYD,True,True,True,False,False,False,True,True,206.27
DIT,Diverzify Itasca,101101,"Mohawk Commercial, Inc",1311926,C4299209,15-Jan-25,2407170053,Hyatt Centric Loop Corridor Renovat,5205,PROJECT PO Variance M181 & M182,13-Aug-24,60143.0,129352,1,1,1.0,1000029530,Durkan Custom Item 169653-A Pattern QT101938 Strike off S0717025C Style Dy42x Definity 42 Cut/Loop with Abac Weldlok backing  7ft 6in W,1CBL,2CBL,2060.0,SY,2060.0,SQYD,,0.02,,1CBL,Carpet BL,New Commodity,Yes,Commodity Found,Supplier registered,Classified,Carpet Roll,1CBL,Carpet_Roll_1CBL_SQYD,True,True,True,False,True,False,True,True,1663.09
