Site,Address ,Savings ,Latitude ,Longitude
BSC,"3900 Roosevelt Rd, Saint Cloud, MN, 5630",-0.858361754,45.503169,-94.152416
CTS,0,0.252372014,,
DCN,"120 Progress Place, Springdale, OH, 45246",0.265823251,39.29696,-84.47342
DIN,"5150 W 84th St, Indianapolis, IN, 46268",0.306821515,39.9055,-86.2369
DIT,0,0.599093525,,
DPW,"4801 Grand Ave Suite D, Pittsburgh, PA 15225",0.594303386,40.5095,-80.093
DSL,"4240 Duncan Ave., Suite #200, St. Louis, Missouri, 63110",0.362774493,38.6369,-90.2517
FSC,"7261 Peppermill Parkway, North Charleston, SC, 29418",-0.743643578,32.9055,-80.0635
FSG,"3408 West Wendover Ave., Ste E, Guilford, NC, 27407",-0.774524869,36.0589,-79.8878
FSU,0,-0.707855304,,
KFC,"2665 Broad Ave Ste. 3, Memphis, Shelby, TN, 38112",-0.196551747,35.1395,-89.9617
PSC,"17405-B Valley View Ave., Cerritos, CA,  90703",-0.165293317,33.8725,-118.03
PSLV,"7015 Corporate Plaza Drive; Ste. #130, Las Vegas, NV,  89118",-1.124229003,36.0691,-115.2169
PSP,"10948 Willow Ct. Suite 100, San Diego, CA 92127",-0.259469169,33.0225,-117.0995
PSS,"4111 N Freeway Blvd. Suite 70, Sacramento, CA 95834",0.012240367,38.6405,-121.5059
PSUC,"4017 Whipple Rd, Union City, CA 94587",-0.030259527,37.5959,-122.0693
PVF,0,0.359443884,,
RDW,"5 Skyline Drive, BLDG 5/Suite 232 Hawthorne NY 10532",0.198661854,41.1075,-73.7941
SPA,"8619 Wall Street, Suite 620, Austin, TX 78754",0.045993,30.33978,-97.67173
SPB,"1351 Eisenhower Blvd., Ste. 102, Harrisburg, PA,  17111",-0.043830738,40.23699,-76.8239
SPC,"3031 International Street, Columbus, OH,  43228",0.199964436,40.01418,-83.13266
SPCP,0,0.380815639,,
SPHU,0,0.133252936,,
SPHV,"1003 Production CT, Suite 500, Madison, AL 35758",-0.202705707,34.6561,-86.7427
SPJ,0,0.114938037,,
SPK,"17620 West Valley Hwy, Tukwila, WA,  98188",-0.239292234,47.4445,-122.2605
SPLA,"811 Wilshire Blvd. #2050, Los Angeles, CA 90017",-0.26318302,34.04973,-118.25821
SPLV,"5644 Shepherdsville Rd, Louisville, KY,  40228",-0.008200223,38.1423,-85.6695
SPN,0,0.352228951,,
SPP,"310 Business Center Drive, Birmingham, AL 35244",-0.107983033,33.3432,-86.7848
SPS,"113 Executive Drive, Suite 124, Sterling, VA 20166",0.220863938,39.0061,-77.429
SPSA,"3660 Thousand Oaks Suite 301, San Antonio, TX,  78247",0.068482177,29.5848,-98.408
SPT,0,0.192156893,,
SPTG,"7379 SW Tech Center Drive, Portland, OR,  97223",-0.094066749,45.4253,-122.767
SPTM,0,0.044345189,,
SPW,0,0.212725841,,
SPWV,"3759 West 2340 South Suite H, West Valley City, UT,  84120",-0.126718763,40.7172,-111.961
