invoice_id,site,new_commodity_group,invoice_commodity_quantity,multiple_commodities,priority_multiple_commodities,freight_per_invoice,invoice_total,invoice_commodity_group,invoice_commodity_description,location,supplier_name,model,supplier_mode,supplier_match_flag,standardization_status,error_summary,priority_failure_reasons,method,unit,rate_unit,freight_class,applied_rate,shipment_type,invoice_freight_commodity_cost,base_rate,inflation_rate,fsc_rate,intertim_rate,xgs_rebate,star_net_rebate,raw_invoice_cost,minimum_applied,freight_class_rank,ltl_only_cost,ftl_cost,ltl_fallback_cost,xgs_threshold_cost,xgs_method,optimal_cost,optimal_method,ftl_blocked,penalty_vs_optimal,hybrid_overflow_flag,hybrid_num_truckloads,hybrid_overflow_qty,hybrid_overflow_cost,hybrid_ftl_cost_component,hybrid_cost_total,hybrid_overflow_class,hybrid_overflow_rate,realistic_optimal_cost,realistic_optimal_method,xgs_rate,historical_rate,rate_ratio_normal,pct_difference,savings_flag,freight_ratio_normal_site,rate_ratio_normal_outlier,pct_difference_outlier
335125,SPK,1VNL,37603.16,True,False,0.0,76558.5,1VNL,VCT,Is_Distributor,"T&A SUPPLY COMPANY., INC.",0.0,Distributor,Supplier Matched,SUCCESS,Invalid commodity group 'nan' (must be a non-empty string); Unsupported commodity group '1ADH'; Unsupported commodity group '1STR'; Unsupported commodity group '1RBF'; Unsupported commodity group '1INS'; Unsupported commodity group '1TRAN'; Standardization successful; Unsupported commodity group '1BASE',No priority errors found,CWT,LBS,CWT,30M,0.196353679245283,FTL,7383.52,0.17676,0.1667547169811321,0.2167811320754717,0.2001056603773585,0.0166754716981132,0.0037519811320754,7383.52,False,9.0,7383.52,5903.008726415094,7383.52,5903.008726415094,FTL,5903.008726415094,FTL,False,0.0,False,1,0.0,0.0,5903.008726415094,5903.008726415094,,,5903.008726415094,FTL,0.15698171979203593,,,,LOSS,1.5387210407702332,MISSING,MISSING
357863,SPN,1VNL,1294.68,True,False,191.13,3810.34,1VNL,VCT,GA,"MANNINGTON MILLS, INC.",1.0,Manufacturer,Supplier Matched,SUCCESS,Standardization successful; Unsupported commodity group '1ADH'; Invalid commodity group 'nan' (must be a non-empty string),No priority errors found,CWT,LBS,CWT,1M,0.0828804481132075,LTL,107.3,0.07461,0.0703867924528301,0.0915028301886792,0.0844641509433962,0.007038679245283,0.0015837028301886,107.3,False,3.0,107.3,666.7068396226415,107.3,107.3,LTL,107.3,LTL,False,0.0,False,1,0.0,0.0,666.7068396226415,666.7068396226415,,,107.3,LTL,0.08287762226959557,0.14762721290202985,0.5613980013603306,-43.86019986396694,LOSS,1.5999046051888348,OK,OK
357870,SPCP,1VNL,5759.7,False,False,602.67,15078.17,1VNL,VCT,GA,"MANNINGTON MILLS, INC.",1.0,Manufacturer,Supplier Matched,SUCCESS,Standardization successful; Invalid commodity group 'nan' (must be a non-empty string),No priority errors found,CWT,LBS,CWT,5M,0.1257703301886792,LTL,724.4,0.11322,0.1068113207547169,0.138854716981132,0.1281735849056604,0.0106811320754716,0.0024032547169811,724.4,False,6.0,724.4,1986.7924528301885,724.4,724.4,LTL,724.4,LTL,False,0.0,False,1,0.0,0.0,1986.7924528301885,1986.7924528301885,,,724.4,LTL,0.12577043943260935,0.10463565810719308,1.2019845022981068,20.198450229810692,SAVINGS,0.7569827268861484,OK,OK
357875,SPTM,1CPT,331.22,False,False,524.66,11140.1,1CPT,Carpet Tiles,GA,"MANNINGTON MILLS, INC.",1.0,Manufacturer,Supplier Matched,SUCCESS,Standardization successful; Invalid commodity group 'nan' (must be a non-empty string),No priority errors found,AREA,SQYD,SQYD,L5C,1.3948931603773584,LTL,462.02,1.2557,1.184622641509434,1.540009433962264,1.421547169811321,0.1184622641509434,0.0266540094339622,462.02,False,1.0,462.02,3611.611556603773,462.02,462.02,LTL,462.02,LTL,False,0.0,False,1,0.0,0.0,3611.611556603773,3611.611556603773,,,462.02,LTL,1.3949036893907372,1.5840227039429984,0.8806083940075478,-11.939160599245218,LOSS,1.6608063162616375,OK,OK
357977,SPLV,1VNL,471.71,True,False,0.0,987.4,1VNL,LVT,,SHANNON SPECIALTY FLOORS,,Manufacturer,Supplier Matched,SUCCESS,Standardization successful; Unsupported commodity group '1ADH',No priority errors found,CWT,LBS,CWT,L5C,0.2009525943396226,LTL,101.96,0.1809,0.1706603773584905,0.2218584905660377,0.2047924528301886,0.017066037735849,0.003839858490566,94.79,True,1.0,101.96,1172.2167452830188,101.96,101.96,LTL,101.96,LTL,False,0.0,False,1,0.0,0.0,1172.2167452830188,1172.2167452830188,,,101.96,LTL,0.21614975302622375,,,,LOSS,0.98055702023745,MISSING,MISSING
359142,SPB,1VNL,812.79,False,False,210.72,2515.6800000000003,1VNL,LVT,GA,"MANNINGTON MILLS, INC.",1.0,Manufacturer,Supplier Matched,SUCCESS,Invalid commodity group 'nan' (must be a non-empty string); Standardization successful,No priority errors found,CWT,LBS,CWT,5C,0.2258467216981132,LTL,183.57,0.20331,0.1918018867924528,0.2493424528301887,0.2301622641509434,0.0191801886792452,0.0043155424528301,183.57,False,2.0,183.57,2053.322405660377,183.57,183.57,LTL,183.57,LTL,False,0.0,False,1,0.0,0.0,2053.322405660377,2053.322405660377,,,183.57,LTL,0.2258516960100395,0.2592551581589341,0.8711560364464691,-12.88439635535309,LOSS,1.0097730002168825,OK,OK
359152,PSLV,1VNL,10210.13,False,False,0.0,18358.56,1VNL,LVP,GA,"MANNINGTON MILLS, INC.",1.0,Manufacturer,Supplier Matched,SUCCESS,Standardization successful,No priority errors found,CWT,LBS,CWT,10M,0.2046517216981132,LTL,2089.52,0.1842299999999999,0.1738018867924528,0.2259424528301886,0.2085622641509433,0.0173801886792452,0.0039105424528301,2089.52,False,7.0,2089.52,3844.0846698113205,2089.52,2089.52,LTL,2089.52,LTL,False,0.0,False,1,0.0,0.0,3844.0846698113205,3844.0846698113205,,,2089.52,LTL,0.2046516547781468,,,,LOSS,3.0966581913259925,MISSING,MISSING
359153,PSLV,1VNL,63391.78,False,False,4235.0,114000.76,1VNL,LVT,GA,"MANNINGTON MILLS, INC.",1.0,Manufacturer,Supplier Matched,SUCCESS,Standardization successful; Invalid commodity group 'nan' (must be a non-empty string),No priority errors found,CWT,LBS,CWT,40M,0.2046517216981132,FTL,12973.24,0.1842299999999999,0.1738018867924528,0.2259424528301886,0.2085622641509433,0.0173801886792452,0.0039105424528301,12973.24,False,10.0,12973.24,3844.0846698113205,12973.24,3844.0846698113205,FTL,3844.0846698113205,FTL,False,0.0,True,1,20391.78,4173.21,3844.0846698113205,8017.29,20M,0.2046517216981132,8017.29,HYBRID,0.12647207571707247,0.06680676895332487,1.8931027154663518,89.31027154663519,SAVINGS,3.0966581913259925,OK,OK
359158,SPLA,1VNL,263.07,False,False,126.64,755.22,1VNL,LVT,GA,"MANNINGTON MILLS, INC.",1.0,Manufacturer,Supplier Matched,SUCCESS,Invalid commodity group 'nan' (must be a non-empty string); Standardization successful,No priority errors found,CWT,LBS,CWT,L5C,0.4159018867924529,LTL,135.07,0.3744,0.3532075471698113,0.4591698113207548,0.4238490566037736,0.0353207547169811,0.0079471698113207,109.41,True,1.0,135.07,3973.584905660377,135.07,135.07,LTL,135.07,LTL,False,0.0,False,1,0.0,0.0,3973.584905660377,3973.584905660377,,,135.07,LTL,0.5134374881210324,0.4813927851902536,1.066566645609602,6.65666456096019,SAVINGS,1.7142534355850483,OK,OK
359159,SPK,1CPT,545.0,True,False,1894.44,19717.96,1CPT,carpet tiles,GA,"MANNINGTON MILLS, INC.",1.0,Manufacturer,Supplier Matched,SUCCESS,Invalid commodity group 'nan' (must be a non-empty string); Standardization successful; Unsupported commodity group '1ADH',No priority errors found,AREA,SQYD,SQYD,5C,1.8762240566037736,LTL,1022.54,1.689,1.5933962264150945,2.071415094339623,1.9120754716981132,0.1593396226415094,0.0358514150943396,1022.54,False,2.0,1022.54,5903.008726415094,1022.54,1022.54,LTL,1022.54,LTL,False,0.0,False,1,0.0,0.0,5903.008726415094,5903.008726415094,,,1022.54,LTL,1.8762201834862384,3.4760366972477064,0.5397584510462194,-46.024154895378054,LOSS,1.5387210407702332,OK,OK
359161,SPLA,1VNL,210.45,False,False,220.18,723.04,1VNL,LVT,GA,"MANNINGTON MILLS, INC.",1.0,Manufacturer,Supplier Matched,SUCCESS,Standardization successful; Invalid commodity group 'nan' (must be a non-empty string),No priority errors found,CWT,LBS,CWT,L5C,0.4159018867924529,LTL,135.07,0.3744,0.3532075471698113,0.4591698113207548,0.4238490566037736,0.0353207547169811,0.0079471698113207,87.53,True,1.0,135.07,3973.584905660377,135.07,135.07,LTL,135.07,LTL,False,0.0,False,1,0.0,0.0,3973.584905660377,3973.584905660377,,,135.07,LTL,0.6418151579947731,1.0462342599192207,0.6134526296666364,-38.65473703333636,LOSS,1.7142534355850483,OK,OK
359171,SPTM,1VNL,1850.54,True,False,0.0,4335.5,1VNL,LVT,GA,"MANNINGTON MILLS, INC.",1.0,Manufacturer,Supplier Matched,SUCCESS,Standardization successful; Unsupported commodity group '1ADH',No priority errors found,CWT,LBS,CWT,1M,0.2555397169811321,LTL,472.89,0.2300399999999999,0.2170188679245283,0.2821245283018868,0.2604226415094339,0.0217018867924528,0.0048829245283018,472.89,False,3.0,472.89,3611.611556603773,472.89,472.89,LTL,472.89,LTL,False,0.0,False,1,0.0,0.0,3611.611556603773,3611.611556603773,,,472.89,LTL,0.2555416256876371,,,,LOSS,1.6608063162616375,MISSING,MISSING
362764,SPTM,1VNL,167.38,True,False,0.0,518.76,1VNL,LVP,Is_Distributor,BIG D FLOOR COVERING SUPPLIES (11469),0.0,Not Found,Supplier Matched,SUCCESS,Unsupported commodity group '1ADH'; Unsupported commodity group '1FLPR'; Standardization successful; Invalid commodity group 'nan' (must be a non-empty string); Unsupported commodity group '1BASE',No priority errors found,CWT,LBS,CWT,L5C,0.3703126415094339,LTL,135.07,0.33336,0.3144905660377358,0.4088377358490565,0.3773886792452829,0.0314490566037735,0.007076037735849,61.98,True,1.0,135.07,3611.611556603773,135.07,135.07,LTL,135.07,LTL,False,0.0,False,1,0.0,0.0,3611.611556603773,3611.611556603773,,,135.07,LTL,0.8069661847293583,,,,LOSS,1.6608063162616375,MISSING,MISSING
