site,invoice_commodity_group,GA_weighted_avg,GA_median,GA_75th,xgs_weighted_avg,xgs_median,xgs_75th,hist_weighted_avg_all,hist_median_all,hist_75th_all,Recommended_weighted_avg,Recommended_median,Recommended_75th
CCS,1CBL,0.831110904,1.070189573,1.284079727,0.627281681,0.561603836,1.457244168,0.996794891,1.052129431,1.332962963,1.056602585,1.134400948,1.412940741
CCS,1CPT,0.950360218,1.4175,1.756097561,0.908454448,0.936671576,1.219763735,1.350164054,1.420593511,1.845,1.431173898,1.505829121,1.9557
CCS,1VNL,0.091913469,0.166764446,0.264433228,0.115650221,0.192451241,0.290046369,0.133302276,0.163568516,0.292137393,0.141300412,0.176770313,0.309665637
CCSG,1CBL,1.179662077,1.114442857,1.359055237,0.777104411,1.110266483,1.280690934,1.258827128,1.208769231,1.645384615,1.334356756,1.281295385,1.744107692
CCSG,1CPT,1.320415448,1.444123556,2.512686012,0.70857904,0.936668887,1.301,1.353926795,1.447031411,2.785434211,1.435162403,1.533853295,2.952560263
CCSG,1VNL,0.14149103,0.213199235,0.260409134,0.102798669,0.149166322,0.280353407,0.08650354,0.198778845,0.38907055,0.149980492,0.225991189,0.412414783
DIT,1CBL,0.484173251,1.035001774,1.193590049,0.347406256,0.487222222,0.868612486,0.697774388,1.039502662,1.712760664,0.739640852,1.101872822,1.815526303
DIT,1CPT,1.054420906,1.427364865,2.348125,0.758607412,0.828258698,1.645496945,3.369502439,1.47467167,2.5715,3.571672586,1.56315197,2.72579
DIT,1VNL,0.102789882,0.187510547,0.297505477,0.125860735,0.232440578,0.286760074,0.121392483,0.151040418,0.284452943,0.128676032,0.19876118,0.315355805
FSU,1CBL,0.746777787,0.619591837,0.663785259,1.628484307,1.410901961,2.366153846,0.740647062,0.6196,0.882723264,0.791584454,0.656776,0.935686659
FSU,1CPT,0.841102687,0.891233005,1.321132773,2.200297258,2.39856,4.469862153,0.929405524,0.89125,1.368014706,0.985169855,0.944725,1.450095588
FSU,1VNL,0.084922492,0.086329809,0.179634748,0.121650141,0.170262696,0.364976077,0.099492815,0.117095575,0.276645416,0.105462384,0.124121309,0.293244141
KFC,1CBL,1.008414877,0.965307079,1.618758295,0.911644742,1.973712963,2.80475,1.009511425,0.965307079,1.618758295,1.07008211,1.023225504,1.715883793
KFC,1CPT,0.896633283,1.275106973,1.922305264,1.073453778,1.325809501,2.965780797,0.99192915,1.2916,2.1790625,1.051444899,1.369096,2.30980625
KFC,1VNL,0.093078832,0.15144543,0.29509416,0.123146473,0.182956922,0.427490782,0.111908706,0.188173918,0.521078007,0.118623228,0.199464353,0.552342688
PVF,1CBL,2.028399487,1.611785714,1.987607143,1.108217711,2.205,9.9225,2.354154992,2.385428571,2.895008876,2.495404292,2.528554286,3.068709409
PVF,1CPT,1.638561902,1.811468695,2.666600719,1.397919088,1.290709665,2.480237523,2.335612447,1.864365385,3.036111111,2.475749194,1.976227308,3.218277778
PVF,1VNL,0.154115046,0.350081611,0.571460674,0.16801319,0.27043258,0.500008977,0.148948079,0.256696737,0.516072551,0.163361949,0.371086507,0.605748314
SPB,1CBL,0.488586558,1.241352941,1.348660252,0.641239381,0.847958856,1.919464286,0.736786117,1.239374145,1.349444412,0.780993284,1.315834118,1.430411076
SPB,1CPT,1.399579931,1.688261579,1.844939533,1.282229314,1.441444851,1.886445664,1.464955163,1.682027885,1.826558266,1.552852473,1.789557274,1.955635904
SPB,1VNL,0.119713023,0.250336422,0.294020391,0.103372149,0.225846098,0.398655252,0.111638304,0.230171487,0.305486523,0.126895805,0.265356607,0.323815714
SPCB,1CBL,1.152877425,1.221607054,1.880803571,0.540578153,0.84525,1.32234375,1.170338177,1.3395,1.854702381,1.240558468,1.41987,1.993651786
SPCB,1CPT,1.076869124,1.414,2.100026882,0.614924893,0.81302675,0.813048369,1.168494555,1.414434334,2.010013441,1.238604228,1.499300394,2.226028495
SPCB,1VNL,0.058294867,0.230491527,0.363422743,0.071006033,0.141066863,0.324878919,0.083013354,0.205570996,0.432907298,0.087994156,0.244321019,0.458881735
SPCP,1CBL,1.103144084,1.164495114,2.3265,0.511702324,0.543430251,0.656230628,1.141549269,1.166044255,2.633084783,1.210042225,1.23600691,2.79106987
SPCP,1CPT,0.986902367,1.465109877,2.141445978,0.796467395,0.957887184,1.249,1.269991544,1.473238095,2.270320657,1.346191037,1.561632381,2.406539896
SPCP,1VNL,0.178679113,0.221587831,0.396124526,0.13828618,0.192654166,0.241750468,0.173021076,0.197214098,0.368537488,0.189399859,0.234883101,0.419891998
SPD,1CBL,0.797367052,1.2165,1.4528,0.71923794,0.745384615,1.708875,1.015649604,1.342579499,1.937188716,1.07658858,1.423134269,2.053420039
SPD,1CPT,0.971377691,1.726606712,2.794861111,1.315351958,1.267158436,2.480625,1.541169547,1.725687972,2.958219317,1.633639719,1.830203114,3.135712476
SPD,1VNL,0.079648767,0.257280216,0.447930516,0.178272742,0.286531131,0.681227321,0.103640702,0.21119624,0.442992295,0.109859144,0.272717029,0.474806347
SPHU,1CBL,0.920430145,1.065250872,1.15265625,0.66211744,0.563221281,0.892142857,0.87951142,1.068787879,1.244852941,0.975655954,1.132915152,1.319544118
SPHU,1CPT,0.98125363,1.484536082,2.07577381,0.8317261,0.957450461,1.28803125,1.36152272,1.485,2.100563998,1.443214083,1.5741,2.226597838
SPHU,1VNL,0.078352296,0.158726423,0.317817629,0.11226304,0.237343576,0.335438874,0.086470948,0.204565615,0.895093736,0.091659204,0.216839552,0.94879936
SPJ,1CBL,1.031495117,1.110548178,2.142453436,0.546133459,0.787571429,1.535914148,0.698256064,0.72375,1.336381283,1.093384824,1.177181069,2.271000642
SPJ,1CPT,1.140482573,1.36568781,2.412391304,0.767267108,0.824476513,1.326932181,1.149648311,1.37053975,2.6805625,1.218627209,1.452772135,2.84139625
SPJ,1VNL,0.082697522,0.144475625,0.298258215,0.099997826,0.161562342,0.319805467,0.097703149,0.155884012,0.602859275,0.103565338,0.165237053,0.639030832
SPK,1CBL,1.400461591,1.395188679,2.629459459,1.141169464,1.243567555,2.912972973,1.400461591,1.395188679,2.629459459,1.484489287,1.4789,2.787227027
SPK,1CPT,1.500006662,1.919889958,2.5313125,1.789383529,1.894447755,4.042003052,1.545299599,1.92397418,2.80175074,1.638017575,2.039412631,2.969855785
SPK,1VNL,0.181957805,0.243770241,0.318722828,0.23459926,0.322827142,0.474588529,0.18443082,0.235170235,0.326339458,0.19549667,0.258396455,0.345919826
SPL,1CBL,0.594901834,1.230505814,1.734012363,0.53537559,0.48512,1.02375,1.448080971,1.473883471,2.182810843,1.53496583,1.562316479,2.313779494
SPL,1CPT,0.650056155,1.409393353,1.901980058,0.83869574,0.824707471,1.751964046,1.142907621,1.433707271,2.420015125,1.211482078,1.519729708,2.565216032
SPL,1VNL,0.09148174,0.145568465,0.359830799,0.100511422,0.17215562,0.329158058,0.155029559,0.189988691,0.448964614,0.164331333,0.201388013,0.475902491
SPLA,1CBL,0.599458794,1.198986486,1.833815341,0.714233841,1.019408569,2.981255952,0.692475467,1.2,1.885208333,0.734023995,1.272,1.998320833
SPLA,1CPT,1.381366134,1.669407183,2.195604306,1.250489592,1.436778678,1.989453949,1.413691693,1.677882353,2.399447977,1.498513194,1.778555294,2.543414856
SPLA,1VNL,0.139004374,0.216351879,0.512848291,0.254448207,0.336919563,0.513437488,0.128353218,0.237800681,0.744780725,0.147344637,0.252068722,0.789467568
SPLV,1CBL,1.357613818,2.024963994,4.383708467,2.617967721,4.370875725,7.309866024,1.218949207,1.583121303,4.383440514,1.439070647,2.146461834,4.646730975
SPLV,1CPT,1.313908332,1.438814889,1.558422746,0.817758429,0.749296875,1.631674836,1.045616172,1.438719163,1.538884119,1.392742832,1.525143782,1.651928111
SPLV,1VNL,0.078388712,0.135251315,0.217358247,0.085157941,0.137870211,0.25988264,0.07985078,0.135247064,0.224219485,0.084641827,0.143366394,0.237672654
SPN,1CBL,0.157368971,0.77,0.878352941,0.295446348,0.361406845,1.096554755,0.799595546,0.854847959,1.886768723,0.847571279,0.906138837,1.999974847
SPN,1CPT,0.232414309,0.780019168,1.779641513,0.494303473,0.604760968,1.5371875,0.611733834,0.78955102,2.213419732,0.648437864,0.836924082,2.346224916
SPN,1VNL,0.016970235,0.149805296,0.314604606,0.056958333,0.119891618,0.461720982,0.07538257,0.163261053,0.354538924,0.079905524,0.173056716,0.37581126
