site,invoice_commodity_group,GA_weighted_avg,GA_median,GA_75th,xgs_weighted_avg,xgs_median,xgs_75th,hist_weighted_avg_all,hist_median_all,hist_75th_all,Recommended_weighted_avg,Recommended_median,Recommended_75th
CCS,1CBL,1.051899211,1.061159502,1.318981131,0.612178399,0.561603836,1.355208333,0.996794891,1.052129431,1.332962963,1.115013163,1.124829072,1.412940741
CCS,1CPT,1.297253203,1.416835893,1.57303125,0.895125076,0.936674296,1.25448339,1.350164054,1.420593511,1.845,1.431173898,1.505829121,1.9557
CCS,1VNL,0.155538651,0.166764446,0.264433228,0.130259437,0.192452188,0.266866483,0.133302276,0.163568516,0.292137393,0.16487097,0.176770313,0.309665637
CCSG,1CBL,1.179662077,1.114442857,1.359055237,0.777104411,1.110266483,1.280690934,1.258827128,1.208769231,1.645384615,1.334356756,1.281295385,1.744107692
CCSG,1CPT,1.346094475,1.447031411,2.740835813,0.702924371,0.936669036,1.280690934,1.353926795,1.447031411,2.785434211,1.435162403,1.533853295,2.952560263
CCSG,1VNL,0.14149103,0.213199235,0.260409134,0.102798669,0.149166322,0.280353407,0.08650354,0.198778845,0.38907055,0.149980492,0.225991189,0.412414783
DIT,1CBL,0.640385464,1.035001774,1.193590049,0.338525666,0.487225806,0.726242857,0.697774388,1.039502662,1.712760664,0.739640852,1.101872822,1.815526303
DIT,1CPT,1.209571037,1.4621,2.362491071,0.737744634,0.828257803,1.502571429,3.369502439,1.47467167,2.5715,3.571672586,1.56315197,2.72579
DIT,1VNL,0.17458363,0.187510547,0.297505477,0.143218892,0.232443238,0.282623674,0.121392483,0.151040418,0.284452943,0.185058648,0.19876118,0.315355805
FSU,1CBL,0.743003143,0.61959415,0.665832671,1.372264358,1.410892372,1.410912987,0.740647062,0.6196,0.882723264,0.787583331,0.656776,0.935686659
FSU,1CPT,0.958523526,0.934237319,1.797157191,1.975820748,2.398552635,2.564001063,0.929405524,0.89125,1.368014706,1.016034938,0.990291558,1.904986622
FSU,1VNL,0.090057442,0.113778586,0.235128011,0.111824949,0.170256745,0.227975223,0.099492815,0.117095575,0.276645416,0.105462384,0.124121309,0.293244141
KFC,1CBL,1.01015008,0.961226054,1.770839366,0.861782439,1.486025439,2.737057328,1.009511425,0.965307079,1.618758295,1.070759085,1.023225504,1.877089728
KFC,1CPT,0.970734547,1.28729513,2.002461514,0.993259015,1.209554952,2.62970996,0.99192915,1.2916,2.1790625,1.051444899,1.369096,2.30980625
KFC,1VNL,0.103164668,0.146183926,0.309694441,0.120440319,0.182954507,0.36451895,0.111908706,0.188173918,0.521078007,0.118623228,0.199464353,0.552342688
PVF,1CBL,2.087930957,1.500508895,3.85981699,0.89922991,1.128442053,2.22075,2.354154992,2.385428571,2.895008876,2.495404292,2.528554286,4.091406009
PVF,1CPT,1.76144568,1.82634592,2.684264359,1.234990208,1.290708152,2.268,2.335612447,1.864365385,3.036111111,2.475749194,1.976227308,3.218277778
PVF,1VNL,0.288201413,0.359435681,0.623205591,0.191181263,0.270433548,0.473515724,0.148948079,0.256696737,0.516072551,0.305493498,0.381001821,0.660597927
SPB,1CBL,0.628111189,1.239374145,1.345707143,0.584621948,0.871854428,1.983446429,0.736786117,1.239374145,1.349444412,0.780993284,1.313736594,1.430411076
SPB,1CPT,1.454416468,1.704971857,1.958416945,1.260398224,1.441442209,1.493850323,1.464955163,1.682027885,1.826558266,1.552852473,1.807270169,2.075921962
SPB,1VNL,0.128172372,0.246908153,0.285294629,0.100759609,0.225840319,0.258046559,0.111638304,0.230171487,0.305486523,0.135862714,0.261722642,0.323815714
SPCB,1CBL,1.152877425,1.221607054,1.880803571,0.540578153,0.84525,1.32234375,1.170338177,1.3395,1.854702381,1.240558468,1.41987,1.993651786
SPCB,1CPT,1.167236597,1.414868668,2.145,0.598465321,0.81302675,0.813048369,1.168494555,1.414434334,2.010013441,1.238604228,1.499760788,2.2737
SPCB,1VNL,0.1519466,0.233335723,0.382656108,0.099972904,0.141066863,0.324878919,0.083013354,0.205570996,0.432907298,0.161063396,0.247335867,0.458881735
SPCP,1CBL,1.136468319,1.156935057,2.364407151,0.50600603,0.543424367,0.563562897,1.141549269,1.166044255,2.633084783,1.210042225,1.23600691,2.79106987
SPCP,1CPT,1.282144849,1.465109877,2.114280936,0.845856831,0.957888036,1.263098244,1.269991544,1.473238095,2.270320657,1.35907354,1.561632381,2.406539896
SPCP,1VNL,0.194621884,0.22297347,0.405788968,0.135753724,0.192654166,0.241748405,0.173021076,0.197214098,0.368537488,0.206299197,0.236351878,0.430136306
SPD,1CBL,1.019812262,1.246825419,1.578919316,0.689507872,0.745372885,1.089167442,1.015649604,1.342579499,1.937188716,1.081000998,1.423134269,2.053420039
SPD,1CPT,1.558695346,1.767570865,3.011248031,1.316002986,1.267161699,2.710351578,1.541169547,1.725687972,2.958219317,1.652217067,1.873625117,3.191922913
SPD,1VNL,0.222687756,0.261617288,0.52055793,0.239038698,0.286533673,0.733300371,0.103640702,0.21119624,0.442992295,0.236049021,0.277314325,0.551791406
SPHU,1CBL,1.132866784,1.0652,1.149508197,0.601747102,0.563220339,0.855479452,0.87951142,1.068787879,1.244852941,1.200838791,1.132915152,1.319544118
SPHU,1CPT,1.330878104,1.484848928,2.075803571,0.848149321,0.957449047,1.170955804,1.36152272,1.485,2.100563998,1.443214083,1.5741,2.226597838
SPHU,1VNL,0.193078495,0.167414705,0.341941638,0.176112134,0.237343576,0.305102403,0.086470948,0.204565615,0.895093736,0.204663205,0.216839552,0.94879936
SPJ,1CBL,1.031671779,1.110548178,2.142453436,0.532134458,0.700063492,1.231899,0.698256064,0.72375,1.336381283,1.093572086,1.177181069,2.271000642
SPJ,1CPT,1.374732361,1.369865349,2.51126087,0.808785554,0.824476836,1.162680833,1.149648311,1.37053975,2.6805625,1.457216303,1.452772135,2.84139625
SPJ,1VNL,0.091507413,0.143368391,0.276574587,0.100335309,0.161562119,0.302885452,0.097703149,0.155884012,0.602859275,0.103565338,0.165237053,0.639030832
SPK,1CBL,1.400488684,1.425015392,2.772094595,1.125791505,1.178988323,2.282762474,1.400461591,1.395188679,2.629459459,1.484518005,1.510516316,2.93842027
SPK,1CPT,1.539942418,1.919889958,2.4320625,1.762328626,1.894442731,2.839041555,1.545299599,1.92397418,2.80175074,1.638017575,2.039412631,2.969855785
SPK,1VNL,0.226636453,0.243770241,0.322763455,0.249189184,0.322826848,0.474580806,0.18443082,0.235170235,0.326339458,0.24023464,0.258396455,0.345919826
SPL,1CBL,1.144430674,1.230505814,1.734012363,0.557258334,0.966330194,1.2114375,1.448080971,1.473883471,2.182810843,1.53496583,1.562316479,2.313779494
SPL,1CPT,1.013332106,1.410400693,1.931438127,0.707091655,0.82470554,1.597826087,1.142907621,1.433707271,2.420015125,1.211482078,1.519729708,2.565216032
SPL,1VNL,0.132816583,0.144891145,0.350625504,0.102086861,0.17215562,0.279515463,0.155029559,0.189988691,0.448964614,0.164331333,0.201388013,0.475902491
SPLA,1CBL,0.639842654,1.2,1.885208333,0.67974649,0.857474747,2.027950311,0.692475467,1.2,1.885208333,0.734023995,1.272,1.998320833
SPLA,1CPT,1.431818178,1.684412655,2.31994446,1.230585576,1.436774937,1.444385702,1.413691693,1.677882353,2.399447977,1.517727269,1.785477414,2.543414856
SPLA,1VNL,0.312705375,0.291782818,0.667671063,0.306439022,0.336923467,0.513437488,0.128353218,0.237800681,0.744780725,0.331467698,0.309289787,0.789467568
