Column1,PART_NO,DESCRIPTION,MFR,manufacturer_name,STYLE,COMPOSITION,WIDTH,COLOR,TYPE,SIZE,GAUGE,FACE WEIGHT,COLLECTION,DEPTH,BACKING,FINISH,SITE,PART STATUS,PART TYPE,COMMODITY 1,COMMODITY 2,comm1_label,comm2_label,PRODUCT CODE,PRODUCT_FAMILY,INV UoM,PURCH UoM,CONV FACTOR,PRIMARY SUPPLIER,SUPPLIER NAME,NET WEIGHT,NET VOLUME,Manufacturer,miscellaneous,material_part,ext_manufacturer,manufacturer_match,windbid,name,part_number,product_type,form,dimensions,color2,color_code,collection3,product_name,backing4
299975,183916-012,Interface Silver Linings SL910 (SL910) Tufted Texture Loop 25cm x 1m - Walnut (104509),INTF,Interface,5591 - Silver Linings SL910,,,40161 - Walnut (104509),2023 - Tufted Texture Loop,903 - 25cm x 1m,,40 - 21 oz.,,,69 - GlasBac,,SPCB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1,102775,"Interface Americas, Inc.",,,INTF,FALSE,FALSE,Interface,TRUE,No,Silver Linings SL910,SL910,Tufted,Texture Loop ,25cm x 1m,Walnut,104509,,,
387601,215819-001,Interface Cubic (1380102501) Tufted Texture Loop 19.69in x 19.69in - Shape (4287),INTF,Interface,7094 - Cubic,,,30077 - Shape (4287),2023 - Tufted Texture Loop,494 - 19.69in x 19.69in,,28 - 18 oz.,,,236 - ReadyBac,,SPT,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1,102775,"Interface Americas, Inc.",,,INTF,FALSE,FALSE,Interface,TRUE,No,Cubic,1380102501,Tufted,Texture Loop ,19.69in x 19.69in,Shape,4287,,,
250912,162621-020,Interface Cap & Blazer Tufted Texture Loop 19.69in x 19.69in - St. George (100888),INTF,Interface,715 - Cap & Blazer,,,55171 - St. George (100888),2023 - Tufted Texture Loop,494 - 19.69in x 19.69in,,35 - 20 oz,,,69 - GlasBac,,SPCB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1,102775,"Interface Americas, Inc.",,,INTF,FALSE,FALSE,Interface,TRUE,No,Cap &,,Blazer,Tufted Texture Loop ,19.69in x 19.69in,St. George,100888,,,
58441,4001,INTERFACE\NATIVE FABRIC\A00806 TWINE\50CMX50CM,INTF,Interface,,,,,,,,,,,,,CTS,O,Purchased,1VNL,2LVT,Vinyl,LVT,102,1,CTN,SF,0.037160907,100796,DNU (102775) Interface Americas,,,INTF,FALSE,FALSE,INTERFACE,TRUE,Yes,,,,,50CMX50CM,,,NATIVE FABRIC,A00806 TWINE,
252939,153104-015,Interfaceflor Block Weave (12504) Tufted Cut & Loop 19.69in x 19.69in - Mercury (8052),IFFR,Interfaceflor,2880 - Block Weave,,,120556 - Mercury (8052),1996 - Tufted Cut & Loop,494 - 19.69in x 19.69in,,42 - 23 oz.,,,175 - Undefined,,SPCB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1,102775,"Interface Americas, Inc.",,,IFFR,FALSE,FALSE,Interfaceflor,TRUE,No,,,,,,,,,,
59211,13855,INTERFACE\AE311 AERIAL\104674 SMOKE\25CMX1M,INTF,Interface,,,,,,,,,,,,,CTS,O,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,102,1,CTN,SY,0.16722408,100796,DNU (102775) Interface Americas,,,INTF,FALSE,FALSE,INTERFACE,TRUE,Yes,,,,,25CMX1M,,,AE311 AERIAL,104674 SMOKE,
229857,103090-002,Interface Dot Com (14615) Tufted Texture Loop 19.69in x 19.69in - Terminal (2715),INTF,Interface,7604 - Dot Com,,,138037 - Terminal (2715),2023 - Tufted Texture Loop,494 - 19.69in x 19.69in,,41 - 22 oz.,,,175 - Undefined,,SPCB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1,102775,"Interface Americas, Inc.",,,INTF,FALSE,FALSE,Interface,TRUE,No,Dot Com,14615,Tufted,Texture Loop ,19.69in x 19.69in,Terminal,2715,,,
69081,37264,INTERFACE\MONOCHROME\101846 WATERFALL\50CMX50CM,INTF,Interface,,,,,,,,,,,,,CTS,O,Purchased,GM,PR,,,102,1,CTN,SY,0.16722408,100796,DNU (102775) Interface Americas,,,INTF,FALSE,FALSE,INTERFACE,TRUE,Yes,,,,,50CMX50CM,,,MONOCHROME,101846 WATERFALL,
109838,215204-000,Interface Northern Grain (A026xx) 22 mil LVT 25cm x 1m 4.5 mm - To Be Selected (TBS),INTF,Interface,21129 - Northern Grain,,,118967 - To Be Selected (TBS),332 - 22 mil LVT,903 - 25cm x 1m,181 - 4.5 mm,,,,,,DPW,A,Purchased,1VNL,2VCT,Vinyl,VCT,*,*,SF,SF,1,999999,SUPPLIER PLACEHOLDER,,,INTF,FALSE,FALSE,Interface,TRUE,No,,,,,,,,,,
268758,193801-006,Interface World Woven 880 (28200AK00) Tufted Sheared 25cm x 1m - Natural Loom (105364),INTF,Interface,11617 - World Woven 880,,,101013 - Natural Loom (105364),2021 - Tufted Sheared,903 - 25cm x 1m,,47 - 25 oz.,,,69 - GlasBac,,SPCB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1,102775,"Interface Americas, Inc.",,,INTF,FALSE,FALSE,Interface,TRUE,No,World Woven 880,28200AK00,Tufted,Sheared ,25cm x 1m,Natural Loom,105364,,,
8456,306465-000,Interface Next Step Adhesive,INTF,Interface,6389 - Undefined,356 - Undefined,,,2060 - Undefined,1476 - Undefined,243 - Undefined,,,,175 - Undefined,,BNB,A,Purchased,1ADH,2ADH,Adhesive,Adhesive,*,*,EA,EA,1,102775,"Interface Americas, Inc.",,,INTF,FALSE,FALSE,Interface,TRUE,No,,,,,,,,,,
