,PART_NO,DESCRIPTION,MFR,STYLE,COMPOSITION,WIDTH,COLOR,TYPE,SIZE,GAUGE,FACE WEIGHT,COLLECTION,DEPTH,BACKING,FINISH,SITE,PART STATUS,PART TYPE,COMMODITY 1,COMMODITY 2,PRODUCT CODE,PRODUCT_FAMILY,INV UoM,PURCH UoM,CONV FACTOR,PRIMARY SUPPLIER,SUPPLIER NAME,NET WEIGHT,NET VOLUME,miscellaneous,material_part,name,part_number,product_type,form,dimensions,color,color_code,collection,product_name,backing,category,product_number,new_nomenclature
258848,168109-005,Interface S102 (1424102500) Tufted Patterned Loop 19.69in x 19.69in - Lead (9530),INTF,5349 - S102,,,90250 - Lead (9530),2014 - Tufted Patterned Loop,494 - 19.69in x 19.69in,,21 - 16 oz.,,,69 - GlasBac,,SPCB,A,Purchased,1CPT,2CPT,*,*,SY,SY,1.0,102775.0,"Interface Americas, Inc.",,,False,False,S102,1424102500,Tufted,Patterned Loop ,19.69in x 19.69in,Lead,9530,,,,,,Interface Inc - N/A-N/A-N/A-N/A-N/A-19.69in x 19.69in-S102-1424102500-Tufted-Patterned Loop -Lead-9530
332525,166523-053,Interfaceflor Monochrome (138570250H) Tufted Texture Loop 19.69in x 19.69in - Flemish Blue (101842),IFFR,4336 - Monochrome,,,88644 - Flemish Blue (101842),2023 - Tufted Texture Loop,494 - 19.69in x 19.69in,,43 - 24 oz.,,,71 - GlasBac RE,,SPCB,A,Purchased,1CPT,2CPT,*,*,SY,SY,1.0,102775,"Interface Americas, Inc.",,,False,False,,,,,,,,,,,,,Interface Inc - N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A
389867,1000019180,INTERFACE\CARPET TILE\WORLD WOVEN COLLECTION WW880\PRODUCT #:128200AK00\GlasBac\COLOR- 105364 NATURAL LOOM,INTF,,,,,,,,,,,,,SPT,A,Purchased,1CBL,2CBL,*,*,SY,SY,1.0,102775,"Interface Americas, Inc.",,,False,False,,,,,,NATURAL LOOM,105364,WORLD WOVEN COLLECTION WW880,,GlasBac,CARPET TILE,128200AK00,Interface Inc - CARPET TILE-WORLD WOVEN COLLECTION WW880-N/A-128200AK00-GlasBac-N/A-N/A-N/A-N/A-N/A-NATURAL LOOM-105364
71544,030065,INTERFACE\A PEELING\102771 TEXTURED\50CMX50CM,INTF,,,,,,,,,,,,,CTS,O,Purchased,GM,PR,0102,01,CTN,SY,0.16722408,100796,DNU (102775) Interface Americas,,,False,False,,,,,50CMX50CM,,,A PEELING,102771 TEXTURED,,,,Interface Inc - N/A-A PEELING-102771 TEXTURED-N/A-N/A-50CMX50CM-N/A-N/A-N/A-N/A-N/A-N/A
21102,1000022250,INTERFACE WW890 - 105386 BLACK DOBBY 25CM X 1M GLASBAC,INTF,,,,,,,,,,,,,BNB,A,Purchased,1CPT,2CPT,*,*,SY,SY,1.0,102775,"Interface Americas, Inc.",,,False,False,,,,,,,,,,,,,Interface Inc - N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A
271357,188357-005,Interface WW870 (38930AK00) Tufted Texture Loop 25cm x 1m - Brown Weft (105347),INTF,6731 - WW870,,,75214 - Brown Weft (105347),2023 - Tufted Texture Loop,903 - 25cm x 1m,,42 - 23 oz.,,,69 - GlasBac,,SPCB,A,Purchased,1CPT,2CPT,*,*,SY,,,,,,,False,False,WW870,38930AK00,Tufted,Texture Loop ,25cm x 1m,Brown Weft,105347,,,,,,Interface Inc - N/A-N/A-N/A-N/A-N/A-25cm x 1m-WW870-38930AK00-Tufted-Texture Loop -Brown Weft-105347
17007,178493-000,Interfaceflor Heaven Sent Loop Pile 19.7in x 19.7in - To Be Selected (TBS),IFFR,3212 - Heaven Sent,,,118967 - To Be Selected (TBS),1152 - Loop Pile,495 - 19.7in x 19.7in,,53 - 27 oz.,,,175 - Undefined,,BNB,A,Purchased,1CPT,2CPT,*,*,SY,SY,1.0,102775,"Interface Americas, Inc.",,,False,False,,,,,,,,,,,,,Interface Inc - N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A
53381,011991,INTERFACE\AE310 AERIAL\104623 TAUPE\50CMX50CM,INTF,,,,,,,,,,,,,CTS,O,Purchased,GM,PR,0102,01,CTN,SY,0.16722408,100796,DNU (102775) Interface Americas,,,False,False,,,,,50CMX50CM,,,AE310 AERIAL,104623 TAUPE,,,,Interface Inc - N/A-AE310 AERIAL-104623 TAUPE-N/A-N/A-50CMX50CM-N/A-N/A-N/A-N/A-N/A-N/A
303770,184081-011,Interface S201 Glasbac RE (142450250H) Tufted Patterned Loop 19.69in x 19.69in - Hazel (9794),INTF,5355 - S201 Glasbac RE,,,34990 - Hazel (9794),2014 - Tufted Patterned Loop,494 - 19.69in x 19.69in,,35 - 20 oz,,,71 - GlasBac RE,,SPCB,A,Purchased,1CPT,2CPT,*,*,SY,,,,,,,False,False,S201 Glasbac RE,142450250H,Tufted,Patterned Loop ,19.69in x 19.69in,Hazel,9794,,,,,,Interface Inc - N/A-N/A-N/A-N/A-N/A-19.69in x 19.69in-S201 Glasbac RE-142450250H-Tufted-Patterned Loop -Hazel-9794
54578,014018,INTERFACE\CIRCUIT BOARD\105952 PURPLE CIRCUIT\25CMX1M,INTF,,,,,,,,,,,,,CTS,O,Purchased,GM,PR,0102,01,CTN,SY,0.16722408,100796,DNU (102775) Interface Americas,,,False,False,,,,,25CMX1M,,,CIRCUIT BOARD,105952 PURPLE CIRCUIT,,,,Interface Inc - N/A-CIRCUIT BOARD-105952 PURPLE CIRCUIT-N/A-N/A-25CMX1M-N/A-N/A-N/A-N/A-N/A-N/A
310201,172660-003,Interface Lima GlasBac (1459002500) Tufted Texture Loop 19.69in x 19.69in - Picante (101337),INTF,3976 - Lima GlasBac,,,137239 - Picante (101337),2023 - Tufted Texture Loop,494 - 19.69in x 19.69in,,28 - 18 oz.,,,175 - Undefined,,SPCB,A,Purchased,1CPT,2CPT,*,*,SY,SY,1.0,102775.0,"Interface Americas, Inc.",,,False,False,Lima GlasBac,1459002500,Tufted,Texture Loop ,19.69in x 19.69in,Picante,101337,,,,,,Interface Inc - N/A-N/A-N/A-N/A-N/A-19.69in x 19.69in-Lima GlasBac-1459002500-Tufted-Texture Loop -Picante-101337
222727,125561-010,Interface Happening (14632) Tufted Tip Shear 19.69in x 19.69in - Yesterday (2978),INTF,8367 - Happening,,,25857 - Yesterday (2978),2645 - Tufted Tip Shear,494 - 19.69in x 19.69in,,24 - 17 oz,,,175 - Undefined,,SPCB,A,Purchased,1CPT,2CPT,*,*,SY,SY,1.0,102775.0,"Interface Americas, Inc.",,,False,False,Happening,14632,Tufted,Tip Shear ,19.69in x 19.69in,Yesterday,2978,,,,,,Interface Inc - N/A-N/A-N/A-N/A-N/A-19.69in x 19.69in-Happening-14632-Tufted-Tip Shear -Yesterday-2978
328770,166026-001,Interface Custom Style #1990402500 Undefined 19.69in x 19.69in - #251964-037 (Sample),INTF,7417 - Custom Style #1990402500,,,120607 - #251964-037 (Sample),2060 - Undefined,494 - 19.69in x 19.69in,,152 - Undefined,,,175 - Undefined,,SPCB,A,Purchased,1CPT,2CPT,*,*,SY,SY,1.0,102775,"Interface Americas, Inc.",,,False,False,Custom Style #1990402500,,Undefined,19,.69in x 19.69in,#251964-037,Sample,,,,,,Interface Inc - N/A-N/A-N/A-N/A-N/A-.69in x 19.69in-Custom Style #1990402500-N/A-Undefined-19-#251964-037-Sample
54242,013285,INTERFACE\4716 BROADLEAF LOOP\102005 STEPPE\50CMX50CM,INTF,,,,,,,,,,,,,CTS,O,Purchased,GM,PR,0102,01,CTN,SY,0.16722408,100796,DNU (102775) Interface Americas,,,False,False,,,,,50CMX50CM,,,4716 BROADLEAF LOOP,102005 STEPPE,,,,Interface Inc - N/A-4716 BROADLEAF LOOP-102005 STEPPE-N/A-N/A-50CMX50CM-N/A-N/A-N/A-N/A-N/A-N/A
385376,207715-008,Interface AE315 (163230AK01) Tufted Texture Loop 25cm x 1m - Smoke/Iris (105815),INTF,179 - AE315,,,46331 - Smoke/Iris (105815),2023 - Tufted Texture Loop,903 - 25cm x 1m,,21 - 16 oz.,,,236 - ReadyBac,,SPT,A,Purchased,1CPT,2CPT,*,*,SY,SY,1.0,102775,"Interface Americas, Inc.",,,False,False,AE315,163230AK01,Tufted,Texture Loop ,25cm x 1m,Smoke/Iris,105815,,,,,,Interface Inc - N/A-N/A-N/A-N/A-N/A-25cm x 1m-AE315-163230AK01-Tufted-Texture Loop -Smoke/Iris-105815
94285,043016,INTERFACE\CUBIC COLOURS\7248 PARROT\50CMX50CM,INTF,,,,,,,,,,,,,CTS,O,Purchased,GM,PR,0102,01,CTN,SY,0.16722408,100796,DNU (102775) Interface Americas,,,False,False,,,,,50CMX50CM,,,CUBIC COLOURS,7248 PARROT,,,,Interface Inc - N/A-CUBIC COLOURS-7248 PARROT-N/A-N/A-50CMX50CM-N/A-N/A-N/A-N/A-N/A-N/A
