Manufacturer,Name,Association No,Default Language,Country,Creation Date
NORA,Nora,3,,UNITED STATES OF AME,3/13/2023
CNTB,Canterbury,3,,UNITED STATES OF AME,3/13/2023
CRNG,Carnegie,3,,UNITED STATES OF AME,3/13/2023
DIMN,Dimension,3,,UNITED STATES OF AME,3/13/2023
GEWC,Glen Eden Wool Carpet,3,,UNITED STATES OF AME,3/13/2023
HBGR,Harbinger,3,,UNITED STATES OF AME,3/13/2023
HUDS,Hudson Commercial,3,,UNITED STATES OF AME,3/13/2023
USDS,US Design Source,3,,UNITED STATES OF AME,3/13/2023
VNDK,Van Dijk Carpets,3,,UNITED STATES OF AME,3/13/2023
WRLD,World Carpets,3,,UNITED STATES OF AME,3/13/2023
SNRS,Sunrise Carpets,3,,UNITED STATES OF AME,3/13/2023
ALAD,Aladdin,3,,UNITED STATES OF AME,3/13/2023
BK,Bigelo-Karastan,3,,UNITED STATES OF AME,3/13/2023
BRTL,Bretlin,3,,UNITED STATES OF AME,3/13/2023
CMBG,Cambridge,3,,UNITED STATES OF AME,3/13/2023
DC,Designer Carpet,3,,UNITED STATES OF AME,3/13/2023
FBRW,Fibreworks,3,,UNITED STATES OF AME,3/13/2023
FRTN,Fortune,3,,UNITED STATES OF AME,3/13/2023
LOTU,Lotus,3,,UNITED STATES OF AME,3/13/2023
PRTR,Porter,3,,UNITED STATES OF AME,3/13/2023
SUPM,Supreme,3,,UNITED STATES OF AME,3/13/2023
WSOL,Western Solutions,3,,UNITED STATES OF AME,3/13/2023
WLSH,Woolshire,3,,UNITED STATES OF AME,3/13/2023
WTRH,Waterhog,3,,UNITED STATES OF AME,3/13/2023
WNWV,Wunda Weave,3,,UNITED STATES OF AME,3/13/2023
UNTP,United Technical Products,3,,UNITED STATES OF AME,3/13/2023
MTWV,Masterweave,3,,UNITED STATES OF AME,3/13/2023
FELTX,Feltex,3,,UNITED STATES OF AME,3/13/2023
BUEL,Buell,3,,UNITED STATES OF AME,3/13/2023
RODN,Robbins,3,,UNITED STATES OF AME,3/13/2023
TFLX,Tuflex,3,,UNITED STATES OF AME,3/13/2023
3M,3M,3,,UNITED STATES OF AME,3/13/2023
AHF,Anderson Hardwood Floors,3,,UNITED STATES OF AME,3/13/2023
MCR,Mercer,3,,UNITED STATES OF AME,3/13/2023
SCTR,Schluter,3,,UNITED STATES OF AME,3/13/2023
SCI,SCI,3,,UNITED STATES OF AME,3/13/2023
MTRS,Metro Step,3,,UNITED STATES OF AME,3/13/2023
LNSL,Lonseal,3,,UNITED STATES OF AME,3/13/2023
AMBL,American Biltrite,3,,UNITED STATES OF AME,3/13/2023
DR,Dodge Regupol,3,,UNITED STATES OF AME,3/13/2023
MLTR,Moultrie,3,,UNITED STATES OF AME,3/13/2023
UTP,UTP,3,,UNITED STATES OF AME,3/13/2023
TATE,Tate,3,,UNITED STATES OF AME,3/13/2023
EXFX,Exerflex,3,,UNITED STATES OF AME,3/13/2023
ERC,E.R. Carpenter,3,,UNITED STATES OF AME,3/13/2023
TRED,Tredmore,3,,UNITED STATES OF AME,3/13/2023
MNDO,Mondo America,3,,UNITED STATES OF AME,3/13/2023
ALLS,Allstate,3,,UNITED STATES OF AME,3/13/2023
CRND,Coronado,3,,UNITED STATES OF AME,3/13/2023
ENDR,Endura,3,,UNITED STATES OF AME,3/13/2023
KLEN,"Kleen-Tex Industries, Inc.",3,,UNITED STATES OF AME,3/13/2023
ALSY,Allison Seymour,3,,UNITED STATES OF AME,3/13/2023
ANTR,Antrim,3,,UNITED STATES OF AME,3/13/2023
S CC,Shaw Cabin Crafts,3,,UNITED STATES OF AME,3/13/2023
ATLR,Atelier,3,,UNITED STATES OF AME,3/13/2023
CRCT,Carousel Carpets,3,,UNITED STATES OF AME,3/13/2023
