supplier_name,part_no,part_description,new_commodity_description,new_commodity_group
"Shaw Industries, Inc.",192392-009,Shaw Commercial Hard Surfaces Terrain II 20 MIL (0454V) 20 mil glue down 6in x 48in 2.5 MM - Ash (00174),VCT,1VNL
"Shaw Industries, Inc.",192392-018,Shaw Commercial Hard Surfaces Terrain II 20 MIL (0454V) 20 mil glue down 6in x 48in 2.5 MM - Sumac (07004),VCT,1VNL
J.J. Haines & Company,1000018530,Armstrong - CottonWood Spring - 6in x 48in - 2.5mm - Wear layer .05mm - Sunset Blonde (J5225),Vinyl Tile,1VNL
"Shaw Industries, Inc.",188060-008,Shaw Contract Solitude (0648V) Luxury Resilient Planks 6in x 48in 13/64 - Pewter (48595),LVP,1VNL
Engineered Floors LLC,207032-004,J&J Tatami (V5003) 20 mil Heavy Commercial 18in x 36in 5.0mm - Edo (1019),VCT,1VNL
Engineered Floors LLC,200333-001,EF Contract Playbook (EFCPB) Heavy Commercial 7in x 48in 5.0mm - STRAW (001),LVT,1VNL
Engineered Floors LLC,1000006712,"Engineered Flooring Parkway Plank Pentz LVT Glue Down 7"" X 48"" 5mil - Shadow (0010)",LVT,1VNL
Engineered Floors LLC,1000019696,"Engineered Floors Cascade 7in"" x 48in"" 20 Mil Thickness 2.5 MM - Aspen (0800)",Vinyl Tile,1VNL
"Mannington Mills, Inc.",1000015099,Mannington Spacia Wood Luxury Vinyl Tile 20mil Micro Bevel 7.25in x 48in 2.5mm - Dusky Walnut (SS5W2542),LVT,1VNL
"Mannington Mills, Inc.",1000019975,"Mannington Biospec MD Homogeneous 6'6"" 0.08 Scuba (15500)",ROLL,1VNL
All South Flooring,126796-003,American Biltrite Texas Granite Solid/Luxury Vinyl 36in x 36in .125 - WHITE | GREY (VTG130),LVT,1VNL
All South Flooring,1000020620,"AMERICAN BILTRITE ESTRIE MIRRA WOOD NATURAL BEECH 7.25 X 48"" 3MM MNB-002 TAUPE BROWN VINYL TILE",VCT,1VNL
All South Flooring,1000020662,AMERICAN BILTRITE-TEXAS GRANITE 24 X 240.125 VTG146 ALMOND SHELL VINYL TILE,VCT,1VNL
All South Flooring,1000020663,AMERICAN BILTRITE-TEXAS GRANITE 12 X 120.125 VTG146 ALMOND SHELL VINYL TILE,VCT,1VNL
All South Flooring,1000020438,American Biltrite MIRRA SLATE SL-008 18 X 18 3MM VINYL TILE,VCT,1VNL
Spartan Surfaces,1000018627,Parterre	Ingrained Vinyl Tile Plank 6in x 36in 3mm Thickness: 3mm 11874 Sanibel Walnut Solid Vinyl Tile,LVP,1VNL
Fishman Flooring Solutions,1000018157, Tarkett IQ Optima (OPT-JT XX) Commercial Vinyl Flooring 24in x 24in 2mm - Thunder Head (853),VCT,1VNL
All South Flooring,1000011889,American Biltrite Mirra Classic Wood LVT 3mm 4in x 36in .7mm- Canadian Cherry (WP-002),LVT,1VNL
"Interface Americas, Inc.",195433-002,Interface Studio Set (A007xx) 22 mil vinyl plank 25cm x 1m 4.5 mm - Pewter (02),LVP,1VNL
"Mannington Mills, Inc.",1000018472,"Mannington Biospec MD Homogeneous 15376 6'6"" 0.08 15376 Blue Ridge Sheet Vinyl",ROLL,1VNL
Mohawk Industries,211212-010,Mohawk Living Local Premium Wood (C0194) Luxury Vinyl Plank 7.72in x 51.97in 2.4 MM - Tan Tone (812),LVP,1VNL
Engineered Floors LLC,1000021797,EF Contract Playbook (EFCPB) Heavy Commercial 7in x 48in 5.0mm 003 Sunglow,LVT,1VNL
Tarkett USA Inc,1000019156,Tarkett Event + Wood 6x48 30 Mil 2122 Oak Grove LVT,LVT,1VNL
Milliken & Company,201616-002,Milliken Change Agent Rootwork 22 mil FlexForm Micro Bevel LVT 25cm x 150cm 5.0mm - DIVINE (RTW214),LVT,1VNL
Tarkett USA Inc,1000019154,Tarkett  Event + Wood 6 x 48 30 Mil 2123 Holly Oak LVT,LVT,1VNL
"Shaw Industries, Inc.",173722-021,Shaw Commercial Hard Surfaces Uncommon Ground 6 (0188V) Undefined 6in x 36in Undefined - Adirondack (02720),LVT,1VNL
J.J. Haines & Company,126732-162,Armstrong Standard Excelon Imperial Texture Vinyl Composition 12in x 12in 1/8in - Perfect Storm (57551),VCT,1VNL
J.J. Haines & Company,126732-015,Armstrong Standard Excelon Imperial Texture Vinyl Composition 12in x 12in 1/8in - Polar White (51941),VCT,1VNL
J.J. Haines & Company,126732-109,Armstrong Standard Excelon Imperial Texture Vinyl Composition 12in x 12in 1/8in - Granny Smith (51885),VCT,1VNL
J.J. Haines & Company,126732-138,Armstrong Standard Excelon Imperial Texture Vinyl Composition 12in x 12in 1/8in - Tannin (59243),VCT,1VNL
J.J. Haines & Company,1000021945,Bruce Frontier Engineered Hickory 3/8in x 5in - Brushed Sahara Sand (BRUEEL5205EE),Vinyl Tile,1VNL
"Mannington Mills, Inc.",1000020622,"Mannington SPACIA WOOD-MICRO BEVELED EDGE 7.25 X 48"" 2.5mm SS5W2506 WARM CHERRY VINYL TILE",LVT,1VNL
Spartan Surfaces,1000006951,Parterre Vinyl Floor System Ingrained 20 mil Layered Plank 7.25in x 48in 3 MM - Sota Oak (11352),LVP,1VNL
Spartan Surfaces,1000021670,Cobalt Surfaces Katanga (KP5-xxx) 20 mil LooseLay 7in x 48in 5.0mm KP5-807 Mineral,VCT,1VNL
All South Flooring,1000014381,American Biltrite Mirra Classic Wood LVT 3mm 4in x 36in .7mm - Medium Walnut (WP006),Vinyl Tile,1VNL
