supplier_name,supplier_mode_real
"Shaw Industries, Inc.",Manufacturer
"Interface Americas, Inc.",Manufacturer
Dal Tile Corporation,Manufacturer
"Mannington Mills, Inc.",Manufacturer
Mohawk Industries,Manufacturer
"Nora System, Inc",Manufacturer
Mondo America Inc.,Manufacturer
"Bentley Mills, Inc.",Manufacturer
Ceramic Technics LLC dba Stone Source,Distributor
Tarkett USA Inc,Manufacturer
Spartan Surfaces,Distributor
Milliken & Company,Manufacturer
Trinity Tile,Distributor
Engineered Floors LLC,Manufacturer
"Mohawk Commercial, Inc",Manufacturer
Trinity Surfaces,Distributor
"Gerflor USA, Inc.",Manufacturer
Concept Surfaces,Manufacturer
"AHF, LLC dba AHF Products",Manufacturer
J.J. Haines & Company,Distributor
Garden State Tile Distributors,Distributor
Tilebar LLC,Distributor
"Forbo Industries, Inc",Manufacturer
Fishman Flooring Solutions,Distributor
"J.J. Haines & Company, LLC dba UCX Flooring",Distributor
Adleta Corporation,Distributor
Emser Tile LLC,Manufacturer
United Office Systems Pvt Ltd,Distributor
Ecore International Inc.,Distributor
"Crossley Axminster, Inc.",Manufacturer
"Architectural Ceramics, Inc.",Distributor
Karndean International LLC,Manufacturer
"BPI-Building Plastics, Inc",Distributor
Porcelanosa,Manufacturer
Connor Sports Flooring,Manufacturer
All Surfaces,Distributor
"Dur-A-Flex, Inc.",Manufacturer
"InterfaceServices, Inc.",Not Found
Specialty Tile Products Inc,Manufacturer
William M. Bird,Distributor
"GIO Architectural Tile & Stone, Inc.",Manufacturer
LOUISVILLE TILE DIST. INC.,Distributor
Readers Wholesale,Distributor
Platform Surfaces LLC,Distributor
"Altro USA, Inc.",Distributor
DALTILE,Manufacturer
"Logistics Solutions, LLC",Manufacturer
Soho Studio Corp. dba TileBar,Distributor
"Florida Tile, Inc",Distributor
"Florstar Sales, Inc",Distributor
"Juncker's Hardwood, Inc",Manufacturer
TILE BAR,Manufacturer
ICG Italia (StonePeak Ceramics),Distributor
Mats Inc DBA Matter Surfaces,Manufacturer
PLAE,Distributor
"Tri-West, LTD.",Distributor
"Karen Pearse & Co., LLC",Manufacturer
Stone Source,Distributor
"Nemo Tile Co., Inc.",Manufacturer
Commercial Flooring Distributors,Distributor
Thorntree LP,Not Found
"Key Resin Company, Inc.",Manufacturer
"Flor, Inc.",Manufacturer
AHF Products,Manufacturer
PLITEQ INC,Manufacturer
Creative Materials Corporation,Manufacturer
Specified Surfaces LLC,Distributor
Virginia Tile Company,Distributor
Mats Inc dba Matter Surfaces Inc,Distributor
"LTR Intermediate Holdings, Inc dba Liberty Tire Services, LLC",Manufacturer
Virginia Tile Co,Distributor
"Moose Sports Surfaces, LTD",Distributor
"EmilAmerica, Inc.",Manufacturer
MANNINGTON COMMERCIAL,Manufacturer
Allied Interiors,Manufacturer
Arto Brick California Pavers,Distributor
"Getzner USA, Inc.",Distributor
Stanley Stephens Co Inc,Distributor
All South Flooring,Manufacturer
"Nasco Stone & Tile, LLC",Manufacturer
AutoStone Floor Systems,Manufacturer
NRF DISTRIBUTORS INC,Distributor
Emser Tile & Natural Stone,Distributor
Ann Sacks Tile and Stone,Manufacturer
"High Point Design, Inc",Distributor
WestSide Transformation Corp.,Manufacturer
PF America Inc.,Manufacturer
Ceramic Installation Supply Co. of Central Florida Inc (CISCO),Distributor
THE BELKNAP WHITE GROUP,Not Found
Faulks Bros Construction Inc.,Distributor
"Lititz Flooring, Co",Manufacturer
"Cain & Bultman, Inc.",Distributor
Allied Business Solutions LLC,Distributor
"Bergvik North America, Inc.",Manufacturer
C&C Wholesale Distributors,Distributor
"Altro USA, Inc",Manufacturer
"Yorkshore Sales & Marketing, Inc.",Manufacturer
"Ege Americas, Inc.",Manufacturer
Fireclay Tile Inc.,Manufacturer
Bedrosian Tile & Marble,Manufacturer
United Tile Inc.,Distributor
Big D Floor Covering Supplies (57269),Distributor
Hamilton Parker Company,Distributor
Traditions in Tile & Stone,Distributor
Sika Corporation,Manufacturer
KIEFER AMERICA LLC (Sister Company),Manufacturer
Colony Hardware dba Care Supply Co,Manufacturer
StaticWorx Inc,Manufacturer
Palmetto Tile Distributors,Manufacturer
Pantheon Floor Solutions Inc,Manufacturer
Knoxtile Supply,Manufacturer
Nydree Flooring,Manufacturer
VAN GELDER INC,Not Found
Chilewich Sultan LLC,Manufacturer
Ohio Valley Flooring,Distributor
South Cypress LLC,Manufacturer
"The Belknap White Group, LLC dba UCX Flooring",Distributor
Matter Surfaces Inc,Distributor
American Harlequin Corporation,Manufacturer
SELECTECH,Manufacturer
"Action Floor Systems, LLC",Manufacturer
W. C. Tingle,Distributor
Arizona Tile,Distributor
Kiefer America LLC,Manufacturer
Roca Tile USA Inc,Manufacturer
Stone Tile International Inc,Distributor
Julie Industries,Manufacturer
L&P Financial Services Co. dba Leggett & Pratt,Manufacturer
"EJ Welch Co, Inc",Distributor
Robert F. Henry Tile Co. Inc.,Distributor
Top Grade Floors,Manufacturer
Alpha Tile,Manufacturer
Walker Zanger,Manufacturer
"Building Plastics, Inc (BPI)",Distributor
Floorazzo Tile LLC,Manufacturer
"SpecCeramics, Inc.",Distributor
Matter Surfaces,Distributor
ModernRugs.com,Not Found
"Couristan, Inc.",Manufacturer
The Bahr Co.,Manufacturer
L&P Financial Services Co.,Not Found
"Stauf USA, LLC",Manufacturer
Boone Distributors,Manufacturer
Ceramic Matrix,Manufacturer
"American Import Tile, Ltd.",Distributor
Environmental Flooring Group,Manufacturer
Shannon Specialty Floors dba Teknoflor,Manufacturer
"Consolidated Brick & Building Supplies, Inc",Distributor
"Best Tile Distributors, Inc.",Distributor
Wausau Tile Inc.,Manufacturer
Mosaic Tile Company,Distributor
WC TINGLE,Manufacturer
Cladding Corp,Distributor
Architectural Directions,Distributor
PANIAGUA GROUP INC,Manufacturer
"Royal Thai Americas 2017, Inc",Manufacturer
"ProSpec Solutions, Inc",Manufacturer
Karndean Design Flooring,Manufacturer
Tiles & Textiles dba Boss flooring,Manufacturer
SIENA LLC,Distributor
Floor and Decor,Distributor
Shaw Integrated Solutions Group,Distributor
"CONCEPT SURFACES, LLC",Distributor
Tile Market of San Marco,Distributor
"IB Supply, LLC",Manufacturer
Design Works,Distributor
Tindalls Virgin Timbers,Manufacturer
"New Bedford Technology, LLC dba Tangent Technologies, LLC",Manufacturer
ELM SURFACES INC,Distributor
Shannon Specialty Floors,Manufacturer
Imbert Construction Industries,Distributor
"SICIS North America, Inc.",Distributor
Controlled Products dba Grasstex,Not Found
"Klein & Co., Inc.",Manufacturer
PRECISION INDUSTRIAL SERVICES,Manufacturer
"VMI's Premier Group, LLC",Distributor
Contempo Tile,Manufacturer
"Surface Materials, LLC",Distributor
"Entech, Inc",Distributor
Floorfolio Industries,Manufacturer
Nystrom Inc,Manufacturer
"ARCH180, Inc.",Distributor
B&D Products LLC,Manufacturer
Ceramic Tile Design,Distributor
Bering LLC,Manufacturer
Skudo USA Inc,Manufacturer
"Shannon Sales, Inc.",Manufacturer
Authentic Surfaces dba Mill and Woods,Manufacturer
"T&A Supply Company., Inc.",Distributor
Capri Cork LLC dba The Lititz Flooring Company,Manufacturer
Atlas Concorde USA Inc.,Distributor
"Hakwood, Inc.",Distributor
H.B. Fuller,Manufacturer
TMT Flooring Group LLC,Manufacturer
ROCA USA INC,Distributor
"Grifform Innovations, Inc.",Distributor
Pacific Mat & Commercial Flooring,Manufacturer
Lexmark Carpet Mills dba Tarkett Hospitality,Distributor
"Graphic Image Flooring, LLC",Distributor
Galleher Corporation,Distributor
Horizon Italian Tile,Distributor
Club Resource Group (CRG),Not Found
TransCeramica (ICG Italia),Not Found
"Challenger Turf, Inc.",Manufacturer
"Travis Tile Sales, Inc.",Manufacturer
Tilevera LLC dba Cle Tile,Distributor
Fieldturf USA Inc.,Manufacturer
EXQUISITE SURFACE OF CHICAGO INC,Distributor
"DNU (103423) Shaw Industries, Inc.",Manufacturer
Wall 2 Wall Floorcoverings,Not Found
"Strategic Contract Brands, Inc dba AutoStone Floor Systems",Not Found
James A Andrew inc dba Henry Poor Lumber Company,Manufacturer
Crossfield Product Corp,Manufacturer
Big D Floor Covering Supplies 17 (11469),Distributor
"RW Supply and Design, LLC",Manufacturer
Mincey Marble Mfg Co Inc,Distributor
Sadlerstone LLC dba Concrete Collaborative,Manufacturer
Emerald Distributing LLC,Distributor
Wagner Electronic Products,Manufacturer
Bedrosian Tile & Stone dba AlysEdwards Tile & Stone,Distributor
Midwest Floor Coverings Inc,Distributor
MS International Inc,Distributor
"Construction Specialties, Inc",Manufacturer
Audrey Lane LLC,Distributor
Procedo Flooring,Manufacturer
"CDC Distributors, Inc",Distributor
North Georgia Brick Co Inc,Not Found
Ceramic Tool Company Inc,Manufacturer
North West Rubber,Distributor
The Sherwin-Williams Company,Manufacturer
Elm Surfaces,Distributor
"Margaritelli USA, LLC. dba Listone Giordano",Distributor
SALESMASTER FLOORING,Not Found
Global Floor Inc,Not Found
Shoreline Flooring Supplies,Distributor
Peacock Interiors & Gallery Inc.,Manufacturer
Abraham Linc Corporation,Distributor
"Siena, LLC",Manufacturer
"Ohio Valley Flooring, Inc",Manufacturer
Reading Rock Inc,Manufacturer
Seal Bond,Distributor
"Zia Ventures, LLC dba Zia Tile",Distributor
Water Mitigation Concepts LLC,Manufacturer
Professional Flooring Supply,Distributor
Salesmaster Associates Inc,Distributor
Summit Flooring Supply LLC,Distributor
Mountain Trade Supply,Distributor
"StonePeak Ceramics, Inc",Manufacturer
Tiles & Textiles,Manufacturer
"Tate Access Floors, Inc.",Manufacturer
Materials Marketing Ltd dba Material Bespoke Stone + Tile,Distributor
US Adhesives,Distributor
Design Materials,Manufacturer
"Best Tile Distributors of New England, Inc",Distributor
Curran Catalog LLC,Distributor
"Hero Finishes Group, LLC dba Hero Flooring",Distributor
Bricks Inc,Not Found
"Specialized Supplies & Services, Inc.",Distributor
ASM Modular Systems Inc.,Distributor
Sherwin-Williams,Manufacturer
Floor It Logistics LLC,Not Found
"Design and Direct Source, LLC",Manufacturer
National Paint Industries Inc.,Manufacturer
Color Rite Inc,Manufacturer
BR Funsten - Tom Duffy Co,Distributor
"Division 9 Associates, Inc.",Distributor
GD Group Corporation,Manufacturer
Reef Industries Inc.,Manufacturer
"Southeastern Tile Connection, Inc",Distributor
Diamond W Floor Covering,Distributor
CSI Creative,Distributor
Surfaces 9,Distributor
Hero Flooring,Distributor
"Stoler Industries, Inc.",Distributor
"Runyon Surface Prep Co., LLC",Manufacturer
Zoche,Not Found
"Casale Design Source, Inc.",Manufacturer
"STANLEY STEPHENS COMPANY, INC",Manufacturer
Architectural Ceramics Inc. Architessa,Manufacturer
"Simon Signs, Inc.",Distributor
Hi-Tec Flooring Distributor,Distributor
"Sportsfield Specialties, Inc.",Distributor
"EMIL AMERICA, INC",Manufacturer
MICHAEL HALEBIAN & CO,Not Found
FJ Roberts Floors AASG,Manufacturer
Kertiles,Manufacturer
"Uline, Inc.",Distributor
Alpha Tile & Stone,Manufacturer
Ann Sacks,Distributor
Kuberit USA,Distributor
Creative Materials Corp,Manufacturer
Crossville Studios dba Crossville Tile & Stone,Not Found
Lonseal Flooring,Distributor
Aries Investors Inc dba Ray Weeks Marketing,Distributor
TAJ Flooring Inc,Distributor
Longust Distributing Inc,Manufacturer
Glenrock Distributing LLC,Manufacturer
"Bloomsburg Carpet Industries, Inc.",Distributor
Florida Silica Sand Company,Distributor
Balco Inc,Distributor
Colony Hardware Corporation & Subsidiaries,Manufacturer
"Aacer Flooring, LLC",Not Found
Junckers Hardwood Inc,Distributor
"Desoto Sales, Inc.",Distributor
Thorntree,Manufacturer
"Direct Fitness Solutions, LLC.",Distributor
Bentley Carpet Mills,Manufacturer
Hanover Architectural Products,Not Found
Michael Halebian & Co Inc,Distributor
Zandur,Manufacturer
Eleganza Tiles,Distributor
ToMarket,Not Found
Pavigym America Corp,Manufacturer
"Wooster Products, Inc.",Distributor
Brandon Company of Tennessee LLC,Distributor
WD Flooring,Distributor
PID Floors,Distributor
"Tile Studio, LLC",Not Found
SATECH (Seamless Attenuating Technologies),Distributor
"Acme Brick DFW, LLC",Distributor
Southland Flooring Supplies,Manufacturer
Studioart Leather Interiors SRL,Distributor
"Cumar, Inc.",Distributor
WEITZ SUPPLY CHAIN LLC,Manufacturer
Cancos Tile Corporation,Distributor
Foundation Building Materials LLC dba FBM,Manufacturer
Dwyer Marble & Stone Supply Inc.,Distributor
Hank's Specialties,Distributor
Cape Cod Express LLC,Distributor
"Selec Tech, Inc.",Distributor
Acme Brick Tile & Stone INc,Manufacturer
Architectural Surfaces dba Ceramic Matrix,Not Found
Tile By Design Inc,Manufacturer
"Spectrum Floorsource, Inc. dba Linmar Sales",Not Found
"Urban Surfaces, Inc.",Manufacturer
"Kodiak Sports dba Athletic Textiles, LLC",Distributor
Kim's HS Carpet LLC,Distributor
Marble Systems Inc dba Country Floors of America,Not Found
Wall 2 Wall,Manufacturer
DNU (107786) DALTILE,Manufacturer
"Spec Ceramics, Inc.",Not Found
J&J Flooring Group LLC,Manufacturer
"Futrus, Ltd",Distributor
"SJM Group of NY, Inc.",Not Found
Edgewater Stone and Surfaces (Fab),Manufacturer
Trassig Corp.,Not Found
"APOLLO DISTRIBUTING CO., INC.",Distributor
AMARCO PRODUCTS,Distributor
Turf Nation Inc.,Distributor
Fierst Distributing Company,Distributor
Genotek Inc.,Distributor
Crossfield Products Corp,Manufacturer
Metropolitan Hardwood Flooring,Manufacturer
Brick-It,Distributor
"DNU     Building Plastics, Inc",Not Found
Masland Carpets,Manufacturer
Allstate Rubber Corp,Manufacturer
Tile Optima,Not Found
Ferazzoli Imports of New England dba Genrose Stone & Tile,Distributor
"Morris Tile Distributors, Inc.",Distributor
Amstep Products,Manufacturer
SCHUTZ NA LLC,Manufacturer
Pro Equipment Rental,Distributor
SA Heinen dba GreensGroomer,Distributor
Surface Art,Manufacturer
Oregon Lumber,Distributor
Gulf Tile Distributors of Florida,Distributor
"ASM Modular Systems, Inc",Manufacturer
"DNU    Bloomsburg Carpet Industries, Inc.",Distributor
The Greer Company Inc,Distributor
 To Market,Not Found
Dinoflex Group Limited Partnership,Manufacturer
"FloorMax  Direct, LLC dba Floormax USA",Distributor
NorthStar Equipment & Supply II LLC,Distributor
Sherwin Williams,Manufacturer
"Pro Tile Distributors, Inc.",Distributor
Maharam Fabric Corporation,Distributor
"Shapley & Stern, Inc. dba Jamie Stern",Distributor
Knoxtile LLC,Distributor
Bedrosians Tile & Stone,Manufacturer
Kimara Inc. dba Aayers Flooring,Distributor
Metropolitan Hardwood Floors Inc,Distributor
Professional Flooring Supply Co,Not Found
Chilewich,Manufacturer
"TAJ FLOORING, INC.",Distributor
"GeoSurfaces, Inc.",Distributor
Interstate Brick,Manufacturer
"DSN Associates, LLC dba Summit International Flooring",Distributor
Facility Armor LLC,Distributor
HB Fuller Construction Products Inc.,Distributor
"Saxony Distributors, Inc.",Distributor
"Rubber Flooring Systems, Inc. dba RFS Inc.",Not Found
"Haustile, LLC",Not Found
American Floor Mats LLC,Distributor
Crossley Axminster Inc,Not Found
Brintons U. S. Axminster,Distributor
Kiefer America LLC dba Kiefer USA,Not Found
DNU      Pliteq Inc,Distributor
"Inspire Promotions, Inc.",Not Found
Statements Tile & Stone Inc.,Distributor
Carpet Resources,Distributor
Matting by Design,Distributor
"Noble Flooring, LLC",Distributor
Resource Commercial Flooring Network dba Experius Distribution,Distributor
PROFILITEC CORPORATION,Distributor
All Tile Holdings LLC,Not Found
American Floor Mats,Distributor
Artistic Tile Downtown,Distributor
DNU     NASCO Stone & Tile LLC,Distributor
Vure' Group LLC,Distributor
Can AM Coatings,Manufacturer
"Athletic Textiles, LLC",Distributor
"Brahan, LLC",Distributor
"Stone Solutions, Inc.",Distributor
Ceramic TileWorks,Distributor
"Curecrete Distribution, Inc.",Manufacturer
"Summit Flooring Supply, LLC",Not Found
Adcut,Distributor
GREAT NORTHERN ASSOCIATES,Manufacturer
"Stagestep, Inc.",Not Found
Intelli-Force Technology Corp dba Intelligent Floor and Wall Systems,Not Found
"Genesee Ceramic Tile Dist., Inc.",Distributor
Wayne Tile Imports,Distributor
Modern Nature Design,Distributor
"PFLC, LLC dba Signature Hospitality Carpet",Distributor
Red Thread Spaces LLC dba Red Thread,Distributor
"Olde Savannah Flooring, Inc.",Manufacturer
"Five Star Ceramics Group, Inc.",Distributor
Tnemec Co. Inc,Distributor
FIRECLAY TILE INC,Distributor
"The 4C's Management Group, LLC",Distributor
"Studio Tile & Design, Inc.",Distributor
"Niagara Machine, Inc.",Distributor
"Carpet Services, Inc.",Distributor
"Jaeckle Distributors, Inc",Distributor
KJL Commercial,Not Found
KATE-LO TILE,Distributor
Facings of America Inc,Distributor
SOUTHERN ALUMINUM FINISHING CO INC,Distributor
PF America,Manufacturer
Buffalo River Operations LLC dba Buffalo River Plastics,Not Found
Building Restoration Products,Manufacturer
SelecTech Inc,Distributor
Tile Club,Distributor
Metro Surfaces,Distributor
"Mercury Mosaics & Tile, Inc",Distributor
ALKS & Associates Inc,Manufacturer
Catalfamo Flooring of Fort Lauderdale Inc,Distributor
Roesel-Heck Company Inc,Distributor
"Division 9 Collaborative, LLC.",Distributor
Le Tissage D'arcade - 2 tec 2,Distributor
DNU (107776) JJ Haines,Manufacturer
Rubber Flooring Systems Inc dba RFS Sports,Distributor
