site_description,site,unit,unitclass,commodity_group,L5C,5C,1M,2M,3M,5M,10M,20M,30M,40M,source,statistic,metric
Jacksonville,SPJ,SQYD,Area,1CBL,0.48499669811320756,0.4719997641509434,0.46544575471698113,0.45567028301886786,0.4393408018867925,0.4393408018867925,0.4393408018867925,0.4393408018867925,0.4393408018867925,0.4393408018867925,vendor,,baseline
SPJ,SPJ,SQYD,Area,1CBL,1.24272294372294,0.72375,,1.00095349929544,,,,,,,georgia_historical_market_median,1.110548178219145,median
SPJ,SPJ,SQYD,Area,1CBL,1.243127641589179,0.72375,,1.00095349929544,,,,,,,georgia_historical_market_wavg,1.0316717791411019,weighted average
SPJ,SPJ,SQYD,Area,1CBL,2.3895576923076898,0.72375,,1.00095349929544,,,,,,,georgia_historical_market_q3,2.1424534363107224,Q3
SPJ,SPJ,SQYD,Area,1CBL,0.9,0.607685799284915,0.400140978597438,1.00095349929544,,,,,,,all_states_historical_market_median,0.72375,median
SPJ,SPJ,SQYD,Area,1CBL,0.819843280024564,0.572385513177838,0.3999722680663395,1.00095349929544,,,,,,,all_states_historical_market_wavg,0.6982560640119443,weighted average
SPJ,SPJ,SQYD,Area,1CBL,1.422501011736135,0.61749720670391,0.4013704166770775,1.00095349929544,,,,,,,all_states_historical_market_q3,1.3363812829206898,Q3
SPJ,SPJ,SQYD,Area,1CBL,0.811437229437229,0.472,,0.455669328323156,,,,,,,georgia_historical_xgs_median,0.7000634920634915,median
SPJ,SPJ,SQYD,Area,1CBL,0.700245139475908,0.472,,0.455669328323156,,,,,,,georgia_historical_xgs_wavg,0.5321344580777092,weighted average
SPJ,SPJ,SQYD,Area,1CBL,1.385037888963505,0.472,,0.455669328323156,,,,,,,georgia_historical_xgs_q3,1.2318990000746175,Q3
SPJ,SPJ,SQYD,Area,1CBL,1.3172863203463163,0.767175,0.4241494373132843,1.0610107092531667,,,,,,,recommended_median,1.177181068912294,median
SPJ,SPJ,SQYD,Area,1CBL,1.3177153000845299,0.767175,0.4239706041503199,1.0610107092531667,,,,,,,recommended_wavg,1.0935720858895681,weighted average
SPJ,SPJ,SQYD,Area,1CBL,2.5329311538461514,0.767175,0.4254526416777022,1.0610107092531667,,,,,,,recommended_q3,2.2710006424893656,Q3
SPJ,SPJ,SQYD,Area,1CBL,,,,,,,,,,,recommended_min,1.0935720858895681,unknown
SPJ,SPJ,SQYD,Area,1CBL,,,,,,,,,,,recommended_middle,1.177181068912294,unknown
SPJ,SPJ,SQYD,Area,1CBL,,,,,,,,,,,recommended_max,2.2710006424893656,unknown
