site_description,site,unit,unitclass,commodity_group,commodity_description,L5C,5C,1M,2M,3M,5M,10M,20M,30M,40M,source
Itasca,DIT,SQYD,Area,1CBL,Carpet Roll,0.4386,0.4308,0.423,0.4153,0.4075,0.4075,0.4075,0.4075,0.4075,0.4075,vendor
Itasca,DIT,SQYD,Area,1CBL,Carpet Roll,1.7349666767347722,1.021695621584364,0.8305992561184256,2.81653583911075,0.482737901727661,0.165965842852428,0.15980143079446,,,,hist_avg
Itasca,DIT,SQYD,Area,1CBL,Carpet Roll,1.1487426461035914,1.0114484160124677,0.8260221667841019,2.81653583911075,0.482737901727661,0.165965842852428,0.15980143079446,,,,hist_wavg
Itasca,DIT,SQYD,Area,1CBL,Carpet Roll,0.9866012877609464,0.4785555858548695,0.4698920381085085,0.461336978497352,0.452672185584246,0.190923129506443,0.200149764748904,,,,xgs_avg
Itasca,DIT,SQYD,Area,1CBL,Carpet Roll,0.5716144238442545,0.47855538852699325,0.46989202262383095,0.46133697849735195,0.452672185584246,0.190923129506443,0.200149764748904,,,,xgs_wavg
Itasca,DIT,SQYD,Area,1CBL,Carpet Roll,0.5771282222593369,0.5328930274854744,0.35613014416027094,2.355198860613398,0.030065716143415022,-0.024957286654015004,-0.04034833395444401,,,,variance
Spectra Coppell,SPCP,SQYD,Area,1CBL,Carpet Roll,0.5073,0.4892,0.4819,0.4747,0.4601,0.4601,0.4601,0.4601,0.4601,0.4601,vendor
Itasca,SPCP,SQYD,Area,1CBL,Carpet Roll,5.904222323533655,1.2282464395814325,1.078833016013698,1.2702277465477123,1.04833770491803,,0.170476028118068,,,,hist_avg
Itasca,SPCP,SQYD,Area,1CBL,Carpet Roll,3.305328197573109,1.2281346615894986,1.067437580797054,1.2431943024639456,1.04833770491803,,0.170476028118068,,,,hist_wavg
Itasca,SPCP,SQYD,Area,1CBL,Carpet Roll,2.748505627484021,0.543424748748811,0.5353183897623235,0.527320946900615,0.511101639344262,,0.21509598562287,,,,xgs_avg
Itasca,SPCP,SQYD,Area,1CBL,Carpet Roll,0.709599679906184,0.543424555870462,0.5353183558555771,0.5273209127903756,0.511101639344262,,0.21509598562287,,,,xgs_wavg
Itasca,SPCP,SQYD,Area,1CBL,Carpet Roll,2.5957285176669247,0.6847101057190366,0.5321192249414769,0.71587338967357,0.537236065573768,,-0.044619957504801994,,,,variance
Norcross,SPN,SQYD,Area,1CBL,Carpet Roll,0.3202,0.3118,0.2992,0.2908,0.2823,0.2823,0.2823,0.2823,0.2823,0.2823,vendor
Itasca,SPN,SQYD,Area,1CBL,Carpet Roll,0.8786727926609668,,0.77,0.770065527164303,,0.09213834041271199,,,,,hist_avg
Itasca,SPN,SQYD,Area,1CBL,Carpet Roll,0.6953688110474899,,0.77,0.770065527164303,,0.09213702140716391,,,,,hist_wavg
Itasca,SPN,SQYD,Area,1CBL,Carpet Roll,0.6370800819954375,,0.332364285714285,0.288937887712201,,0.0960432485063076,,,,,xgs_avg
Itasca,SPN,SQYD,Area,1CBL,Carpet Roll,0.41671943415291274,,0.332364285714285,0.288937887712201,,0.09604187360008433,,,,,xgs_wavg
Itasca,SPN,SQYD,Area,1CBL,Carpet Roll,0.2786493768945772,,0.437635714285715,0.48112763945210196,,-0.003904852192920416,,,,,variance
Itasca,DIT,SQYD,Area,1CPT,Carpet Tiles,0.7456,0.7324,0.7192,0.706,0.6928,0.6928,0.6928,0.6928,0.6928,0.6928,vendor
Itasca,DIT,SQYD,Area,1CPT,Carpet Tiles,2.742050869977005,1.2546250446501173,0.706824165658578,,,0.379896708006886,,,,,hist_avg
Itasca,DIT,SQYD,Area,1CPT,Carpet Tiles,1.680689326133461,1.1799003272048527,0.706824165658578,,,0.379896708006886,,,,,hist_wavg
Itasca,DIT,SQYD,Area,1CPT,Carpet Tiles,1.6783189287780802,0.8135839686919534,0.798925496335302,,,0.282511630458344,,,,,xgs_avg
Itasca,DIT,SQYD,Area,1CPT,Carpet Tiles,0.9228925128001088,0.8135839133096048,0.798925496335302,,,0.282511630458344,,,,,xgs_wavg
Itasca,DIT,SQYD,Area,1CPT,Carpet Tiles,0.7577968133333522,0.36631641389524794,-0.09210133067672399,,,0.09738507754854203,,,,,variance
Spectra Coppell,SPCP,SQYD,Area,1CPT,Carpet Tiles,0.8623,0.8316,0.8192,0.807,0.7822,0.7822,0.7822,0.7822,0.7822,0.7822,vendor
Itasca,SPCP,SQYD,Area,1CPT,Carpet Tiles,2.449776523875444,1.3411114277315335,1.2644087618495408,1.0102980938300203,0.9408072004738863,,,,,,hist_avg
Itasca,SPCP,SQYD,Area,1CPT,Carpet Tiles,1.6905308408117734,1.3343690132296726,1.226615857926156,1.011433116783332,0.9159825211864389,,,,,,hist_wavg
Itasca,SPCP,SQYD,Area,1CPT,Carpet Tiles,1.7687211040821804,0.9237830163540357,0.9100074035627441,0.7756691361029686,0.4635501479681693,,,,,,xgs_avg
Itasca,SPCP,SQYD,Area,1CPT,Carpet Tiles,1.0652997088961773,0.9237828396431619,0.9100074012844583,0.7650806872344452,0.45753326566649466,,,,,,xgs_wavg
Itasca,SPCP,SQYD,Area,1CPT,Carpet Tiles,0.6252311319155961,0.4105861735865107,0.31660845664169757,0.2463524295488867,0.4584492555199442,,,,,,variance
Norcross,SPN,SQYD,Area,1CPT,Carpet Tiles,0.5444,0.5301,0.5086,0.4943,0.48,0.48,0.48,0.48,0.48,0.48,vendor
Itasca,SPN,SQYD,Area,1CPT,Carpet Tiles,8.735052668605054,0.6110698716723746,0.5724550492746366,0.39573966695723534,0.23029916385991067,0.154880324570504,0.115651541937404,,,,hist_avg
Itasca,SPN,SQYD,Area,1CPT,Carpet Tiles,0.8934605144079714,0.6157537889496352,0.5849472856126983,0.39987047441585627,0.23284194909040695,0.154880324570504,0.115651541937404,,,,hist_wavg
Itasca,SPN,SQYD,Area,1CPT,Carpet Tiles,2.93838268293284,0.5888612906063705,0.4624079469043437,0.28654135665850833,0.17432016642698367,0.118647888070907,0.114969673484796,,,,xgs_avg
Itasca,SPN,SQYD,Area,1CPT,Carpet Tiles,0.7194181816635583,0.5888609911882658,0.4485346614345818,0.2840644501792228,0.1725268063648134,0.118647888070907,0.114969673484796,,,,xgs_wavg
Itasca,SPN,SQYD,Area,1CPT,Carpet Tiles,0.17404233274441305,0.026892797761369325,0.13641262417811645,0.11580602423663344,0.060315142725593546,0.036232436499596996,0.0006818684526079949,,,,variance
Itasca,DIT,CWT,Weight,1VNL,LVP,0.2827,0.2325,0.1748,0.1388,0.1388,0.09849999999999999,0.0717,0.0717,0.0717,0.0717,vendor
Itasca,DIT,CWT,Weight,1VNL,LVP,0.8758102756904093,0.21529349961701225,0.19840412577354968,0.0460069105511932,0.034314041469067,,,,,,hist_avg
Itasca,DIT,CWT,Weight,1VNL,LVP,0.4999698861697209,0.22016792872062857,0.20022035749067865,0.04496260838732547,0.034314041469067,,,,,,hist_wavg
Itasca,DIT,CWT,Weight,1VNL,LVP,1.3638255782259419,0.23244407558300573,0.17475931352422266,0.13876598579767302,0.138766364320027,,,,,,xgs_avg
Itasca,DIT,CWT,Weight,1VNL,LVP,0.6938828772761023,0.23244403168394628,0.17475922992926893,0.13876599619636962,0.138766364320027,,,,,,xgs_wavg
Itasca,DIT,CWT,Weight,1VNL,LVP,-0.19391299110638144,-0.012276102963317714,0.025461127561409724,-0.09380338780904415,-0.10445232285096001,,,,,,variance
Spectra Coppell,SPCP,CWT,Weight,1VNL,LVP,0.26530000000000004,0.2418,0.19269999999999998,0.161,0.161,0.1258,0.1057,0.1057,0.1057,0.1057,vendor
