part_no,part_description,new_commodity_description
32,"NATIONAL\NCE6282 PANTHER HEAVY-DUTY FLAT BLADE\3""X14""",VCT
162,"ROPPE 177-100 BLACK 1/4"">1/8"" TRANSITION (12'/PC)",VCT
289,"INTERFACE\A002 NATURAL WOODGRAINS\A00210 TEAK\9.84""X39.38""",LVT
434,SHAW\4107V ABIDE LVT\07210 MAIZE WENGE\7X48,LVT
501,ALTRO\WHITEROCK\W104 STANDARD WHITE\4'X9'10,VCT
581,"MOHAWK\C0089 LINEATE\957 CORD\9""X59""",LVT
597,"MOHAWK\C0128 LARGE & LOCAL WOOD\855 BLY\9.25""X59""",LVT
814,"GERFLOR\GTI MAX CONNECT\0249 CARBON\25""X25""",VCT
924,ARMSTRONG\STANDARD EXCELON\51910 CLASSIC BLACK\12X12,VCT
1000,ARMSTRONG\IMPERIAL TEXTURE\51804 EARTHSTONE GREIGE\12X12,VCT
1011,ARMSTRONG\IMPERIAL TEXTURE\51903 BLUE GREY\12X12,VCT
1140,ARMSTRONG\IMPERIAL TEXTURE\51925 CHARCOAL\12X12,VCT
1236,"ARMSTRONG\IMPERIAL TEXTURE\51927 FIELD GRAY\12""X12""",VCT
1237,"ARMSTRONG\IMPERIAL TEXTURE\51811 ANTIQUE WHITE\12""X12""",VCT
1238,"ARMSTRONG\IMPERIAL TEXTURE\51908 PEWTER\12""X12""",VCT
1277,ARMSTRONG\IMPERIAL TEXTURE\51911 CLASSIC WHITE\12X12,VCT
1290,ARMSTRONG\IMPERIAL TEXTURE\51941 POLAR WHITE\12X12,VCT
1312,ARMSTRONG\IMPERIAL TEXTURE\51836 SHELTER WHITE\12X12,VCT
1365,"SHAW\I412V TIMBER GROVE II\00775 BOXWOOD\5.96""X48""",LVT
1401,"MOHAWK\C0009 SECOYA LVT\142 KEW GARDENS\9""X59""",LVT
1434,ROPPE\177-123 CPT>VCT\123 CHARCOAL\12',VCT
1467,ARMSTRONG\IMPERIAL TEXTURE\51933 BLUE CLOUD\12X12,VCT
1478,ARMSTRONG\IMPERIAL TEXTURE\CHERRY RED\12X12,VCT
1480,ARMSTRONG\IMPERIAL TEXTURE\52513 CIRQUE WHITE\12X12,VCT
1484,ARMSTRONG\IMPERIAL TEXTURE\51809 DESERT BEIGE\12X12,VCT
1491,ARMSTRONG\IMPERIAL TEXTURE\51839 FORTRESS WHITE\12X12,VCT
1492,ARMSTRONG\IMPERIAL TEXTURE\51946 GENTIAN BLUE\12X12,VCT
1504,ARMSTRONG\IMPERIAL TEXTURE\52514 JUBILEE WHITE\12X12,VCT
1518,ARMSTRONG\IMPERIAL TEXTURE\51803 PEARL WHITE\12X12,VCT
1565,ARMSTRONG\IMPERIAL TEXTURE\51830 COTTAGE TAN\12X12,VCT
1567,ARMSTRONG\IMPERIAL TEXTURE\51899 COOL WHITE\12X12,VCT
1570,ARMSTRONG\IMPERIAL TEXTURE\57518 WHITE OUT\12X12,VCT
1571,ARMSTRONG\IMPERIAL TEXTURE\51810 WASHED LINEN\12X12,VCT
1578,ARMSTRONG\IMPERIAL TEXTURE\59243 TANNIN\12X12,VCT
1580,ARMSTRONG\IMPERIAL TEXTURE\51904 STERLING\12X12,VCT
1582,ARMSTRONG\IMPERIAL TEXTURE\51861 SOFT WARM GRAY\12X12,VCT
1583,ARMSTRONG\IMPERIAL TEXTURE\51860 SOFT COOL GRAY\12X12,VCT
1585,ARMSTRONG\IMPERIAL TEXTURE\51802 SILVER GREEN\12X12,VCT
1586,ARMSTRONG\IMPERIAL TEXTURE\59234 SILK\12X12,VCT
1589,ARMSTRONG\IMPERIAL TEXTURE\51882 SERENE BLUE\12X12,VCT
1593,ARMSTRONG\IMPERIAL TEXTURE\51858 SANDRIFT WHITE\12X12,VCT
1597,ARMSTRONG\IMPERIAL TEXTURE\57551 PERFECT STORM\12X12,VCT
1599,ARMSTRONG\IMPERIAL TEXTURE\59240 PEAT\12X12,VCT
1817,"MOHAWK\C0009 SECOYA\148 ATWELL MILL\9""X59""",LVT
1891,"RIKETT\QUARTZ TILE\0807 GALAXY BLACK\24""X24""",VCT
2059,"INTERFACE\STUDIO SET\A007 MUSHROOM\9.84""X39.38""",LVT
2094,"SHAW\0926V INLET\26595 COURSE\9""X48""",LVT
2346,"MOHAWK\C0089 LINEATE\868 GROOVE\9""X59""",LVT
2395,"MOHAWK\HOT&HEAVY BOLDER\999 ONYX\36""X36""",LVT
2521,"SHAW\4107V ABIDE\07710 ALLSPICE WALNUT\7""X47""",LVT
3012,"SHAW\0454V TERRAIN II\00170 WILLOW\6""X48""",VCT
3116,"SHAW\0215V JEOGORI\90700 FLAX\18""X18""",LVT
3138,"SHAW\0516V STRAND\16115 WOOL\18""X36""",LVT
3235,"SHAW\0648V SOLITUDE\48549 CHAR\6""X48""",LVT
4001,INTERFACE\NATIVE FABRIC\A00806 TWINE\50CMX50CM,LVT
4072,"ARMSTRONG\CROWN TEXTURE\5C904 STERLING\12""X12""",VCT
4137,"SHAW\0648V SOLITUDE\48761 UMBER\6""X48""",LVT
4282,"MANNINGTON\COLOR ANCHOR STRIDE\C133 PEANUT SHELL\12""X24""",LVT
4283,"LVT1as: Anchor Stride 
C137 WINTER FLEECE
12in x 24in 2.5 MM
20 mil Micro-Bevel 
36SF/18pc/ctn
360SF=10ctn",LVT
4290,"MANNINGTON\COLOR ANCHOR STRIDE\C136 GINGERSNAP\6""X36""",LVT
4352,"ARMSTRONG\IMPERIAL TEXTURE\51877 EARTH GREEN\12""X12""",VCT
6376,"TARKETT\ID LATITUDE WOOF\3307 EUROPEAN CHERRY\6""X48""",LVT
6416,"SHAW\0187V UNCOMMON GROUND\02530 TEAK LIGHT\4""X36""",LVT
6428,MILLIKEN\REMIX REMASTERED MIX TAPE\MXT27 VINYL\STANDARD\50CMX50CM,VCT
6432,"MANNINGTON\293319 NATURES PATH\12103 CUSTOM CHERRY SELECT\6""X36""",VCT
6433,"MANNINGTON\NATURES PATH\CUSTOM HERRITAGE CHERRY CORDOVAN\6""X36""",VCT
6611,"SHAW\0454V TERRAIN II 20 MIL\00572 TIMBER\6""X48""",VCT
6647,"TARKETT\EVENT CLASSIC PLANK ECK\3305 AMERICAN CHERRY\6""X36""",LVT
6649,"TARKETT\EVENT CLASSIC PLANK ECK\3308 ASH\6""X36""",LVT
6677,"TARKETT\EVENT HERITAGE PLANK EHP\GW29 ANTIQUE CIMARRON\6""36""",LVT
6678,"TARKETT\EVENT HERITAGE PLANK EHP\GW38 ANTIQUE WALNUT\6""X36""",LVT
6852,"SHAW\0187V UNCOMMON GROUND\02540 TELLURIDE\4""X36""",LVT
6884,"SHAW\0188V UNCOMMON GROUND\02573 CHOCOLATE CHERRY\6""X36""",LVT
9257,INTERFACE\STUDIO SET\A00726 PEBBLE\25CMX1M,LVT
9259,INTERFACE\TEXTURED WOOD GRAINS\A00406 ANTIQUE LIGHT OAK\25CMX1M,LVT
9265,"ARMSTRONG\DUO\ST932 SPRETTO ENGLISH GREY\6""X36""",LVT
9288,"INTERFACE\STUDIO SET\A00705 TITANIUM\9.845""X39.38""",LVT
9296,"INTERFACE\STIDIO SET\A00709 OCEAN\9.845""X39.38""",LVT
9297,"INTERFACE\STUDIO SET\A00711 MANDARIN\9.845""X39.38""",LVT
9299,"INTERFACE\STUDIO SET\A00713 SLATE\9.845""X39.38""",LVT
9303,"INTERFACE\STUDIO SET\A00718 DEEP FUSHIA\9.845""X39.38""",LVT
