site,new_commodity_group,min of xgs_rate,mean of xgs_rate,median of xgs_rate,<lambda_0> of xgs_rate,max of xgs_rate,min of historical_rate,mean of historical_rate,median of historical_rate,<lambda_0> of historical_rate,max of historical_rate
BSC,1CBL, 0.8086 , 0.8086 , 0.8086 , 0.8086 , 0.8086 , 1.0260 , 1.0260 , 1.0260 , 1.0260 , 1.0260 
BSC,1CPT, 1.1035 , 1.4784 , 1.1035 , 1.1035 , 2.2741 , 1.4520 , 3.0203 , 2.8952 , 1.4520 , 4.6688 
BSC,1VNL, 0.1096 , 0.2729 , 0.2508 , 0.1096 , 0.5292 , 0.0016 , 0.2325 , 0.2946 , 0.0016 , 0.4382 
CTS,1CBL, 0.3373 , 2.3280 , 0.8269 , 0.8269 , 19.8450 , 0.2027 , 6.0826 , 1.3288 , 1.3717 , 104.9881 
CTS,1CPT, 1.2222 , 3.6075 , 1.2672 , 16.6067 , 16.6067 , 0.6843 , 5.4863 , 2.8949 , 0.6843 , 48.2208 
CTS,1VNL, 0.1165 , 0.2574 , 0.1908 , 0.1165 , 0.9083 , 0.0439 , 0.2740 , 0.1807 , 0.0439 , 0.9437 
DCN,1CBL, 0.5212 , 1.1401 , 0.5733 , 0.5212 , 2.2932 , 0.7721 , 1.7610 , 1.0503 , 0.7721 , 3.3972 
DCN,1CPT, 0.7818 , 1.5687 , 0.8247 , 0.8247 , 9.5870 , 0.6379 , 1.8535 , 1.4228 , 2.2880 , 5.2301 
DCN,1VNL, 0.0543 , 0.3677 , 0.1830 , 0.0543 , 3.1372 , 0.0475 , 0.2473 , 0.1806 , 0.0475 , 0.9697 
DIN,1CBL, 0.4063 , 0.4113 , 0.4113 , 0.4063 , 0.4164 , 1.1881 , 1.2081 , 1.2081 , 1.1881 , 1.2280 
DIN,1CPT, 0.6794 , 0.8694 , 0.7077 , 0.6794 , 2.1947 , 0.4816 , 1.1686 , 0.8348 , 0.4816 , 3.3567 
DIN,1VNL, 0.0646 , 0.1700 , 0.1572 , 0.0646 , 0.3052 , 0.1011 , 0.2354 , 0.2057 , 0.1011 , 0.3606 
DIT,1CBL, 0.1528 , 0.9127 , 0.4872 , 0.4872 , 5.2590 , 0.1598 , 1.6030 , 1.0395 , 1.0260 , 8.6105 
DIT,1CPT, 0.2260 , 1.3914 , 0.8283 , 0.8283 , 6.5738 , 0.2434 , 2.8365 , 1.4641 , 2.2600 , 22.6767 
DIT,1VNL, 0.0358 , 0.4200 , 0.2324 , 0.1388 , 4.3773 , 0.0067 , 0.3243 , 0.1523 , 0.0067 , 5.5301 
DPW,1VNL, 0.2211 , 6.3676 , 0.7803 , 0.2211 , 20.5980 , 0.0860 , 5.0210 , 0.9209 , 0.0860 , 27.1657 
DSL,1CBL, 0.4849 , 0.4849 , 0.4849 , 0.4849 , 0.4849 , 2.6250 , 2.6250 , 2.6250 , 2.6250 , 2.6250 
DSL,1CPT, 0.8244 , 2.1343 , 0.8245 , 0.8244 , 10.1405 , 1.1112 , 2.7202 , 2.1692 , 1.1112 , 5.7850 
DSL,1VNL, 0.0648 , 0.7141 , 0.2258 , 0.2646 , 4.2341 , 0.0909 , 0.6125 , 0.2992 , 0.0909 , 3.9193 
FSC,1CBL, 1.2525 , 3.2724 , 2.3024 , 1.2525 , 6.2624 , 0.6825 , 2.5160 , 0.9412 , 0.6825 , 5.9244 
FSC,1CPT, 1.4798 , 1.9663 , 1.5044 , 1.4798 , 5.8703 , 0.5029 , 0.8323 , 0.6937 , 0.5029 , 2.0503 
FSC,1VNL, 0.0777 , 2.1013 , 0.1479 , 3.0289 , 34.8512 , 0.0207 , 1.4227 , 0.0791 , 1.3584 , 33.9525 
FSG,1CBL, 1.4108 , 1.8463 , 1.4109 , 1.4109 , 4.9000 , 0.6196 , 0.9594 , 0.6196 , 0.6196 , 4.4886 
